Entity	Original count	Found count
	114	25
Aras	1	0
Badascian	5	2
Badasian	1	0
Bethlehem	1	1
Cangui	1	0
Canosalmi	1	1
Cardistan	1	1
Casserie	1	0
Casum	1	0
Chesciemur	1	0
Ciorcia	1	0
Como	1	1
Cremosor	1	1
Curmosa	1	1
Darzizi	1	0
Dilivar	1	1
Geihon	1	1
Gog and Magog	1	0
Great Armenia	1	0
Herdil	1	0
Idifu	1	1
Indian sea	1	0
Istanit	1	0
Kur	1	1
Lighinan	1	1
Mulecte	1	1
Pasciai	1	0
Pisa	1	1
Ruemedan Achomac	2	0
Sevasto	1	1
Sindacui	1	1
Singuy	1	1
Soucara	1	0
Taikan	1	1
Ung and Mungul	1	0
great Armenia	1	0
lesser Armenia	1	0
sea of India	2	0
