	Entity Name	Alternative Name	Tag	Reference
347	Benedict XII			Yule
348	Bengal	Bangala		Yule
349	Beni Búya dynasty			Yule
350	Benjamin of Tudela			Yule
351	Benzoin			Yule
352	Berard			Yule
353	Berbera			Yule
354	Berchet			Yule
355	Bereké			Yule
356	Bernier			Yule
357	Bettelar			Yule
358	Bezant			Yule
359	Bhamó			Yule
360	Bhartpúr			Yule
361	Bhattis			Yule
362	Bháwalpúr			Yule
363	Bianco’s			Yule
364	Biar			Yule
365	Bibars Bundúkdári			Yule
366	Bielo Osero			Yule
367	Bilúchis			Yule
368	Binh Thuan	Champa		Yule
369	Binkin			Yule
370	Bintang	Pentam		Yule
371	Birch-bark vessels			Yule
372	Bird-hunts			Yule
373	Birdwood			Yule
374	Birhors of Chuta Nagpúr			Yule
375	Birthday			Yule
376	Bir–Pandi			Yule
377	Bishbalik	Urumtsi		Yule
378	Bishop			Yule
379	Bitter bread			Yule
380	Blac			Yule
381	Black Crane	Kará Togorü		Yule
382	Blacker			Yule
383	Blaeuw			Yule
384	Blochmann			Yule
385	Block-books			Yule
386	Block-printing in Persia.			Yule
387	Blood-sucking			Yule
388	Boar’s tusks			Yule
389	Bode			Yule
390	Bodhisatva Avalok			Yule
391	Bodleian MS. of Polo			Yule
392	Boeach			Yule
393	Boemond			Yule
394	Boga	Buka		Yule
395	Boghra Khan			Yule
396	Bohea country			Yule
397	Bohra			Yule
398	Boikoff			Yule
399	Bokhara		Location	Murray,Yule
400	Boleyn			Yule
401	Bolgana			Yule
402	Bolgarskoye	Uspenskoye		Yule
403	Bolghar	Bolgara		Yule
404	Bolivar			Yule
405	Bolor			Yule
406	Bombay			Yule
407	Bonaparte			Yule
408	Bonga			Yule
409	Bonheur			Yule
410	Boni		Person	Murray
411	Boniface VIII			Yule
412	Bonin			Yule
413	Bonoccio di Mestro			Yule
414	Bonpos			Yule
415	Bonvalot			Yule
416	Bonús			Yule
417	Boodhism in Central Asia			Murray
418	Book of Marco Polo			Yule
419	Bore in Hang-chau Estuary			Yule
420	Bormans			Yule
421	Born			Yule
422	Borneo			Yule
423	Boro Bodor			Yule
424	Borrak			Yule
425	Borùs			Yule
426	Bostam			Yule
427	Bouqueran			Yule
428	Bourne			Yule
429	Boxwood forests in Georgia			Yule
430	Bra			Yule
431	Bracelets			Yule
432	Bragadino			Yule
433	Brahmanical thread			Yule
434	Brahmans	Abraiaman		Yule
435	Brahma’s temple			Yule
436	Brahuis			Yule
437	Brakhimof			Yule
438	Brambanan			Yule
439	Bran	Tibetan tsamba		Yule
440	Brazil wood			Yule
441	Bread			Yule
442	Brephung monastery			Yule
443	Bretschneider			Yule
444	Brichu	Brius		Yule
445	Bridges of Pulisanghin			Yule
446	Brine-wells			Yule
447	British Museum		Location	Murray
448	Brius	Kin-sha Kiang		Yule
449	Brius 		Location	Murray
450	Brown			Yule
451	Bruce’s Abyssinian Chronology			Yule
452	Brunetto Latini’s Book			Yule
453	Brunhilda			Yule
454	Bruun			Yule
455	Bucephala			Yule
456	Bucephalus			Yule
457	Buckrams			Yule
458	Buddha			Yule
459	Buddhism			Yule
460	Buddhist Decalogue			Yule
461	Buffaloes in Anin			Yule
462	Buffet and vessels of Kúblái’s table			Yule
463	Buka	Boga		Yule
464	Buka Bosha			Yule
465	Bularguji	Bularguchi		Yule
466	Bulgaria		Location	Murray,Yule
467	Bulughán	Bolgana		Yule
468	Bundúkdár			Yule
469	Bundúkdári			Yule
470	Buraets			Yule
471	Burma	Ava		Yule
472	Burnell			Yule
473	Burnes		Person	Murray
474	Burning the Dead			Yule
475	Burrough			Yule
476	Burton			Yule
477	Bushell			Yule
478	Butchers			Yule
479	Butiflis	Mutfili		Yule
480	Butler			Yule
481	Buyid dynasty			Yule
482	Báb-ul-abwáh			Yule
483	Bálti			Yule
484	Bátú			Yule
485	Bír-dhúl			Yule
486	Búkú Khan			Yule
487	Búrkán Káldún			Yule
488	Ca-cian-fu 	Ho-kien-fou	Location	Murray
489	Caaju			Yule
490	Cabs			Yule
491	Cacanfu	Hokiang-fu		Yule
492	Cachanfu	P’uchau-fu		Yule
493	Cachar Modun			Yule
494	Cachilpatnam			Yule
495	Caesalpinia			Yule
496	Caesarea of Cappadocia	Casaria Kaisaríya		Yule
497	Cai-gui	Qua-tcheou	Location	Murray
498	Caichu			Yule
499	Caidu			Yule
500	Caiju			Yule
501	Cail	Káyal		Yule
502	Caindu	K’ien-ch’ang		Yule
503	Caingan	Ciangan		Yule
504	Cairo			Yule
505	Caiton			Yule
506	Cala Ataperistan	Kala’ Atishparastán		Yule
507	Calachan	Kalaján		Yule
508	Calacian		Location	Murray
509	Calaiate			Yule
510	Calamanz			Yule
511	Calamina			Yule
512	Calatu 	Kalhat	Location	Murray
513	Caldwell			Yule
514	Calendar			Yule
515	Cali	Kael	Location	Murray
516	Calicut			Yule
517	Calif			Yule
518	Caligine			Yule
519	Camabaia	Cambay	Location	Murray
520	Camadi	 Dakiánús		Yule
521	Camandu		Location	Murray
522	Cambaluc	Khanbaligh		Yule
523	Cambay	Cambaet		Yule
524	Cambuscan			Yule
525	Camel-bird			Yule
526	Camels			Yule
527	Camexu			Yule
528	Camlets	cammellotti		Yule
529	Camoens			Yule
530	Camphor  trees in Fo-kien	Laurus Camphora		Yule
531	Campichu	Kanchau		Yule
532	Camul	Kamul		Yule
533	Can-giu 	Kiang-chan-fui	Location	Murray
534	Canal			Yule
535	Canale			Yule
536	Cananor			Yule
537	Cananore			Yule
538	Canara			Yule
539	Cancamum			Yule
540	Canes			Yule
541	Cannibalism			Yule
