	Entity Name	Alternative Name	Tag	Reference
543	Canonical Hours		No	Yule
544	Canpicion 	Kan-tcheou	Location	Murray
545	Cansay	Kinsay	Location	Yule
546	Canton		No	Yule
547	Cape Comorin		No	Yule
548	Cappadocian horses		No	Yule
549	Capus		No	Yule
550	Caracoron	Kará Korum	Location	Yule
551	Caraian		Location	Murray
552	Carajan 	Caraian	Location	Yule
553	Caramoran River 	HwangHo	Location	Yule
554	Carans		No	Yule
555	Caraonas 	Karaunahs	Location	Yule
556	Carats		No	Yule
557	Cardinals Wit		No	Yule
558	Caribs		No	Yule
559	Carpets		No	Yule
560	Carpini		Person	Murray
561	Carriages		No	Yule
562	Carrion		No	Yule
563	Carts		No	Yule
564	Casan	Ghazan	Person	Murray,Yule
565	Casaria	Caesarea of Cappadocia	No	Yule
567	Cascar 	Cashgar,Kashgar	Location	Murray,Yule
568	Casem		Location	Yule
569	Caspian Sea 	Sea of Ghel,sea of Ghelan	Location	Yule
570	Cassay		Location	Yule
571	Cassia		No	Yule
572	Castaldi		No	Yule
573	Castambol		No	Yule
574	Castelli		No	Yule
575	Casvin	Kazvín	Location	Yule
576	Catalan Navy		No	Yule
577	Cathay	Kataia	Location	Murray,Yule
578	Catholics		No	Yule
579	Cators 	chakors	No	Yule
580	Cats in China		No	Yule
581	Cats Head Tablet		No	Yule
582	Caucasian Wall		No	Yule
583	Caugigu		No	Yule
584	Caulking		No	Yule
585	Cauly		No	Yule
586	Causeway		No	Yule
587	Cauterising childrens heads		No	Yule
588	Cave-houses		No	Yule
589	Cavo de Eli		No	Yule
590	Caya-fu		Location	Murray
591	Cayu (Kao-yu)		No	Yule
592	Ca Polo		No	Yule
593	Celtic Church		No	Yule
594	Census		No	Yule
595	Ceremonial of Mongol Court		No	Yule
597	Chachan	Charchan	No	Yule
598	Chagatai	Sigatay	Person	Yule
599	ChaghanKuren		No	Yule
600	ChaghanNor 	White Lake	No	Yule
601	Chaghán-Jáng		No	Yule
602	Chairs		No	Yule
603	Chalcedony and jasper		No	Yule
604	Chalukya Malla kings		No	Yule
605	Champa	Chamba	Location	Yule
606	Chandra Banu		No	Yule
608	Chang Kien		No	Yule
609	Chang Te-hui		No	Yule
610	Chang Yao		No	Yule
611	Chang-chau 	Chinginju	Location	Yule
612	Chang-shan	Chanshan	No	Yule
613	Chang-y	Chenchu	No	Yule
614	Changan		No	Yule
615	Changgan	Chang-ngan	No	Yule
616	Chaohien		No	Yule
617	Chaotong		No	Yule
618	Chapu		No	Yule
619	Characters		No	Yule
620	Charchan	Chachan of Johnson	No	Yule
621	Charcoal		No	Yule
622	Charities		No	Yule
623	Charlemagne		Person	Murray
624	Charles VIII		No	Yule
625	Chau dynasty		No	Yule
626	Chaucer		No	Yule
627	Chaul		No	Yule
628	Chaym	Kao-yeou	Location	Murray
629	Cheapness in China		No	Yule
630	Cheetas		No	Yule
631	Cheh-kiang		Location	Yule
632	Cheinan		Location	Yule
633	Chen-gui 	Yen-tcheou-fou	Location	Murray
634	Chenchau		No	Yule
635	Chenching	CochinChina	No	Yule
636	Chenchu	Chang-y	Person	Yule
637	Cheu		No	Yule
638	Chibai and Chiban		No	Yule
639	Chichiklik Pass		No	Yule
640	Chien-chang	Caindu	No	Yule
641	Chihli		Location	Yule
642	Chilaw		No	Yule
643	Chiliánwála		Location	Yule
644	Chilu-ku		Person	Yule
645	Chin		Location	Yule
646	China		Location	Murray,Yule
647	Chinangli	Tsinan-fu	No	Yule
648	Chinchau		No	Yule
649	Chinese		No	Yule
650	Chinese empire		Organization	Murray
651	Chinese navigation to India			Murray
652	Ching-hoang tower at Hangchau-fu		No	Yule
653	Chinghian-fu	Chinkiang-fu	No	Yule
654	Chinghiz Khan		Person	Yule
655	Chinghiz Tora		No	Yule
656	Chinginju 	Chang-chau	No	Yule
657	Chingintalas		Location	Yule
658	Chingkim		Person	Yule
659	Chingsang		No	Yule
660	Chingting-fu 	Acbaluc	No	Yule
661	Chingtsu		Person	Yule
662	Chinju	Tinju	No	Yule
663	Chinju 	Tinju	No	Yule
664	Chinuchi		Person	Yule
665	Chipangu	Japan	Location	Yule
666	Chisi 	Kishm	Location	Murray
667	Chitral		No	Yule
668	Cho-chau 	Juju	No	Yule
669	Chola		No	Yule
670	Chonka	Fo-kien	Location	Yule
671	Chonkwé		No	Yule
672	Chorcha		No	Yule
673	Christian		No	Yule
674	Christianity		No	Yule
675	Christians		No	Yule
676	Chronology and chronological data discussed		No	Yule
677	Chrysostom		No	Yule
678	Chuchu		No	Yule
679	Chughis		No	Yule
680	Chung-tu		Location	Yule
681	Chungkwé		Location	Yule
682	ChungKiang		No	Yule
683	Churches		No	Yule
684	Churchin		No	Yule
685	Chang Chun		Location	Yule
686	Chang Te 		No	Yule
687	Cheng-ting fu		No	Yule
688	Chêng-Tsu	Yung-lo	Person	Yule
689	Chêng-tu	Sze-chwan	No	Yule
690	Chêngtu-fu	Sindafu	No	Yule
691	Cháo Naiman Sumé Khotan		No	Yule
692	Ciagatai	Zagatai	Person	Murray
693	Cian-cian 	Kiu-tcheou	Location	Murray
694	Cian-gli 	Te-tcheou	Location	Murray
695	Cian-glu 	Tsan-tcheou	Location	Murray
696	Cianba 	Tsiompa	Location	Murray
697	Cianganor		Location	Murray
698	Ciarcian 	Karashehr	Location	Murray
699	Cielstan		Location	Yule
700	Cin-ghian-fu	Tchin-kiang-fou	Location	Murray
701	Cinnamon		No	Yule
702	Circumcision of Socotrans		No	Yule
703	Cirophanes		No	Yule
704	Civet		No	Yule
705	Clemenfu 	Tai-yuen-fou	Location	Murray
706	Clement IV		Person	Yule
707	Clement IV.		Person	Murray
708	Cloves		No	Yule
709	Coal 		No	Yule
710	Cobbler		No	Yule
711	Cobi	Shamo	Location	Murray
712	Cobinam 	Khubees	Location	Murray
713	Cobinan	KohBanán	No	Yule
714	Cocachin	Kúkáchin	Person	Yule
715	CochinChina		Location	Yule
716	Coco Islands		No	Yule
717	Coco-nut 		No	Yule
718	Cocos Islands		No	Yule
719	Coeur de Lion		No	Yule
720	Coffins		No	Yule
721	Cogachin	Hukaji	Person	Yule
722	Cogatai		Person	Yule
723	Cogatal		Person	Yule
724	Coiganju	Hwaingan-fu	No	Yule
725	Coilac		Location	Murray
726	Coilon		Location	Murray
727	Coilum	Kollam	Location	Yule
728	Coilumin		No	Yule
729	Coins of Cilician Armenia		No	Yule
730	Coja	Koja	Person	Yule
731	Cold		No	Yule
732	Coleridge		No	Yule
733	Coloman		Location	Yule
734	Colon		No	Yule
735	Colossal Buddhas		No	Yule
736	Columbum		No	Yule
737	Columbus		Person	Yule
738	Comania		Location	Yule
739	Comari		Comorin	Murray,Yule
740	Combermere		No	Yule
741	Compartments		No	Yule
742	Compass		No	Yule
743	Competitive Examinations in beauty		No	Yule
744	Conchi		Person	Yule
745	Conci		Person	Murray
746	Concubines		No	Yule
747	Condi-fu 	Tsi-nan-fou	Location	Murray
748	Condor		Location	Yule
749	Condur and Sondur		Location	Yule
750	Conia		No	Yule
751	Conjeveram		No	Yule
752	Conjurers		No	Yule
753	Conosalmi 	Kamasal	No	Yule
754	Constantinople		Location	Yule
755	Convents		No	Yule
756	Cookery		No	Yule
757	Cooper		No	Yule
758	Copper		No	Yule
759	Coral		No	Yule
760	Corea	Kauli	No	Yule
761	Cormos 	Ormus	Location	Murray
762	Corn		No	Yule
763	Coromandel	Maabar	No	Yule
764	Corsairs		No	Yule
765	Corte del Milione		No	Yule
766	Corvino		Person	Murray
767	Cosmography		No	Yule
769	Cotan 	Khoten	Location	Murray,Yule
770	Cotton		No	Yule
771	Counts in Vokhan		No	Yule
772	Couriers of the great khan			Murray
773	Courts of Justice		No	Yule
774	Cow-dung		No	Yule
775	Cowell		No	Yule
776	Cowries 		No	Yule
777	Cramoisy		No	Yule
778	Cranes		No	Yule
779	Crawford		No	Yule
780	Creman	Carmania	Location	Murray
781	Cremation		No	Yule
782	Cremesor		Location	Yule
783	Crocodiles		No	Yule
784	Cross		No	Yule
785	Crossbows		No	Yule
786	Cruelties		No	Yule
787	Crusca MS. of the Travels		Person	Murray
788	Cubeb pepper		No	Yule
789	Cubits		No	Yule
790	Cublay		Person	Yule
791	Cucintana		No	Yule
792	Cudgel		No	Yule
793	Cuiju	Kwei-chau	Location	Yule
794	Cuinet		No	Yule
795	Cuirbouly		No	Yule
796	Cuju		No	Yule
797	Cun-chin		Location	Murray
798	Cuncun 	HanChung	Location	Yule
799	Cunningham		Person	Yule
800	Cups		No	Yule
801	Curds and Curdistan		No	Yule
802	Currency		No	Yule
803	Current		No	Yule
804	Currents		No	Yule
805	Curtains		No	Yule
806	Curzola Island		Location	Yule
807	Curzon		No	Yule
808	Customs		No	Yule
809	Cutch pirates		No	Yule
810	Cuxstac		No	Yule
811	Cuy Khan	Kuyuk	Person	Yule
812	Cuyne	Kuynuk	Person	Murray
813	Cycle		No	Yule
814	Cyn-gui		Location	Murray
815	Cypresses		No	Yule
816	Cyprus		No	Yule
817	Cyrus		No	Yule
818	Da Gama		Person	Yule
819	Dabul		No	Yule
820	Dagroian		Location	Yule
821	Dailiu	Tali	No	Yule
822	Dakiánus		Location	Yule
823	Dalai Lama		Person	Yule
824	Dalivar		Location	Yule
825	Dalmian		No	Yule
826	Damas		No	Yule
827	Damascus		Location	Yule
828	Damasks		No	Yule
829	Damghan		No	Yule
830	Dancing dervishes		No	Yule
831	Dancing girls		No	Yule
832	Dandolo		Person	Murray,Yule
833	Dantapura		No	Yule
834	Dante		No	Yule
835	Darah		No	Yule
836	Dariel		No	Yule
837	Darius		Person	Yule
838	Dark Ocean of the South		No	Yule
839	Darkness		No	Yule
840	Darwaz		No	Yule
841	Darábjird		No	Yule
842	Darúná		No	Yule
843	Dasht		No	Yule
844	Dasht-i-Lut 	Tali	No	Yule
845	Dashtistan tribe and district		No	Yule
846	Dashtáb		No	Yule
847	Dates (chronology) in Polos book		No	Yule
848	Daughters of Marco Polo		No	Yule
849	David		Person	Yule
850	Davids		No	Yule
851	Davis		No	Yule
852	Dawaro		No	Yule
853	Daya		No	Yule
854	Daïtu		Location	Yule
855	De Barros		No	Yule
856	De Guignes			Murray
857	De la Croix		No	Yule
858	Dead		No	Yule
859	Debt		No	Yule
860	Decimal organisation of Tartar armies		No	Yule
861	Decius		Person	Yule
862	Degháns		No	Yule
863	Deh Bakri		No	Yule
