Entity	Original count	Found count	WordNet count	FrameNet count	Voted count	Paper count
Departing	2	0	26	0	0	0
Go	1	0	2	0	0	0
Leaving	1	0	1	0	0	0
Proceeding	1	0	1	0	0	0
	53	22	1	25	23	39
arrive	1	1	1	1	1	1
ascending	2	3	3	3	3	0
came	12	12	12	12	12	12
come	7	6	6	6	6	6
coming	4	4	4	4	4	4
conveyed	2	0	0	0	0	0
depart	2	2	2	2	2	2
departed	3	3	3	3	3	3
departing	1	1	1	1	1	1
descending	1	1	1	1	1	0
enter	3	3	0	3	3	3
entered	1	1	0	1	1	1
entering	1	1	0	1	1	1
escape	6	6	0	6	6	6
escaped	2	2	0	2	2	2
fled	1	1	0	0	0	0
flee	1	1	0	0	0	0
fleeing	1	1	0	0	0	0
go	15	15	15	15	15	15
going	4	5	5	5	5	5
gone	3	3	3	3	3	3
lead	1	2	2	0	2	0
leave	8	8	8	8	8	8
leaving	2	2	2	2	2	2
left	3	4	4	4	4	4
marched	2	2	0	0	0	0
marching	2	2	0	0	0	0
move	1	1	1	1	1	1
moved	3	3	3	3	3	3
navigate	1	1	1	0	1	1
pass	4	0	4	4	4	0
passed	2	0	2	2	2	0
proceed	3	0	4	0	0	0
proceeded	1	0	1	0	0	0
pursued	1	1	1	0	1	0
quit	1	0	1	0	0	1
reach	3	3	3	3	3	3
reached	1	1	1	1	1	1
return	5	5	5	5	5	5
returning	1	1	1	1	1	1
ride	2	2	2	2	2	0
rides	1	0	0	0	0	0
riding	1	0	0	1	0	0
rode	3	3	3	3	3	0
run	1	1	1	1	1	1
sail	1	1	1	1	1	1
straying	1	1	1	0	1	0
travel	3	3	3	3	3	3
travelled	2	2	2	2	2	2
travelling	4	4	4	4	4	4
traversed	1	0	0	1	0	0
went	15	15	15	15	15	15
