Verb	Count	Is in VerbNet	Is in FrameNet	Is in both	is not in both	FN Frames	Is Synonyms	Synonyms	Is any syn in Net	Synonyms in VN	Synonyms in FN
set	1	1	1	1	0	Emotion_directed,Experiencer_obj,Experiencer_focus,Expensiveness,Aggregate,Possession,Bail_decision,Clothing,Stimulus_focus,Activity_start,Body_description_holistic,Activity_ready_state,Intentionally_create,Setting_fire,Releasing,Change_of_consistency,Choosing,Placing,Cause_to_start,Cause_change_of_consistency,Attack,Vehicle_landing,Cause_to_land,Making_arrangements,Process_start,Judgment,Arranging,Preventing_or_letting,Building_subparts,Triggering,Locale_by_use,Scheduling,Make_agreement_on_action,Social_connection,Temporal_subregion,Setting_out,Colonization,Be_subset_of	0		0		
enter	22	1	1	1	0	Experiencer_obj,Arriving,Path_shape,Stimulus_focus,Activity_start,Medical_specialties,Cause_to_experience,Part_inner_outer,People_by_vocation,Locale_by_use,Medical_professionals,Emphasizing,Becoming_a_member	0		0		
travel	26	1	1	1	0	Motion,Travel	0		0		
stray	1	1	0	0	0		0		0		
arrange	1	1	1	1	0	Placing,Making_arrangements,Arranging,Scheduling	0		0		
ride	18	1	1	1	0	Self_motion,Locative_relation,Judgment_communication,Ride_vehicle,Surrounding,Surviving,Operate_vehicle	0		0		
return	36	1	1	1	0	Arriving,Resurrection	0		0		
convey	6	1	1	1	0	Communication,Bringing,Successfully_communicate_message	0		0		
ascend	3	1	1	1	0	Path_shape,Traversing,Intentional_traversing	0		0		
escape	18	1	1	1	0	Departing,Escaping,Avoiding,Elusive_goal,Quitting_a_place	0		0		
flee	9	1	1	1	0	Evading,Fleeing	0		0		
lead	10	1	1	1	0	Causation,Request,Entering_of_plea,Prevarication,Cotheme,Appellations,Performers_and_roles,Leadership,Criminal_investigation,Intentional_deception,Condition_symptom_relation,Talking_into,First_rank	0		0		
reach	25	1	1	1	0	Body_movement,Arriving,Path_shape,Change_position_on_a_scale,Compliance,Contacting,Speak_on_topic,Statement,Range	0		0		
journey	1	1	1	1	0	Travel	0		0		
leave	46	1	1	1	0	Causation,Departing,Path_shape,Giving,Quitting,Cause_to_fragment,Deny_or_grant_permission,Temporary_leave,Forming_relationships,Abandonment	0		0		
frequent	5	0	1	0	0	Frequency,Condition_symptom_relation	0		0		
disembark	2	1	1	1	0	Disembarking	0		0		
proceed	19	1	1	1	0	Self_motion,Process_continue	0		0		
go	117	1	1	1	0	Categorization,Scrutiny,Discussion,Motion,Emotion_active,Emotion_directed,Experiencer_obj,Ceasing_to_be,Removing,Self_motion,Perception_active,Perception_body,Make_noise,Containers,Commerce_scenario,Attempt,Possession,Hair_configuration,Clothing,Expertise,Stimulus_focus,Accoutrements,Wearing,Expend_resource,Event,Natural_features,Exemplar,Being_named,Ingestion,Process_continue,Avoiding,Releasing,Firing,Appellations,Out_of_existence,Desirability,Compatibility,Morality_evaluation,Social_interaction_evaluation,Dynamism,Isolated_places,Color,Leadership,Sociability,Purpose,Deny_or_grant_permission,Subordinates_and_superiors,Endeavor_failure,Getting_triggered,Personal_relationship,Usefulness,Fire_going_out,Come_into_effect,Chatting,Transition_to_a_quality,People_by_origin,Losing_it,Buildings,Subjective_influence,Speak_on_topic,Sex,Undergo_change,Forgoing,Organization,Required_event,Desirable_event,Successful_action,Social_event_individuals,Size,Store,Going_back_on_a_commitment,Waver_between_options,Rejuvenation,Time_vector,Getting_underway,Undergoing,Proportional_quantity,Have_associated,Attending	0		0		
come	82	1	1	1	0	Becoming_aware,Coming_up_with,Communication_response,Motion,Arriving,Relative_time,Eventive_affecting,Process_end,Waking_up,Text,Coming_to_be,Suitability,Come_together,Amalgamation,Being_born,Come_into_effect,Becoming,Transition_to_a_situation,Come_down_with,Origin,Reveal_secret,Successful_action,Resurrection,Sidereal_appearance,Earnings_and_losses,Conquering	0		0		
advance	7	1	1	1	0	Self_motion,Change_position_on_a_scale,Position_on_a_scale,Giving,Change_event_time,Progression,Stage_of_progress,Cause_to_make_progress	0		0		
drive	5	1	1	1	0	Cause_motion,Self_motion,Bringing,Attack,People_by_vocation,Subjective_influence,Roadways,Operate_vehicle	0		0		
stop	2	1	1	1	0	Stimulus_focus,Activity_stop,Process_stop,Halt,Preventing_or_letting,Thwarting,Drop_in_on	0		0		
navigate	3	1	0	0	0		0		0		
pass	28	1	1	1	0	Others_situation_as_stimulus,Communication,Experiencer_focus,Death,Path_shape,Aggregate,Compliance,Giving,Natural_features,Process_end,Dispersal,Fall_asleep,Rite,Surpassing,Social_interaction_evaluation,Documents,Key,Passing,Roadways,Traversing,Passing_off	0		0		
mount	4	1	1	1	0	Natural_features,Quantity,Improvised_explosive_device,Transportation_status,Amounting_to,Quantified_mass,Attaching,Traversing,Board_vehicle,Disembarking,Being_in_category	0		0		
move	11	1	1	1	0	Body_movement,Motion,Cause_motion,Removing,Change_position_on_a_scale,Cause_change_of_position_on_a_scale,Intentionally_act,Change_event_time,Undressing	0		0		
descend	1	1	1	1	0	Arriving,Path_shape,Kinship,Motion_directional,Traversing	0		0		
quit	2	1	1	1	0	Activity_stop,Locative_relation,Verdict,Quitting,Morality_evaluation,Fairness_evaluation,Process_stop,Quitting_a_place	0		0		
