	nltk	spacy	stanford	allennlp	Gazetteer
Part1	0.491	0.7226	0.6296	0.8454	0.8975
Part2	0.427	0.6305	0.6073	0.8138	0.7883
Part3	0.5326	0.5594	0.6098	0.8372	0.8351
