Verb	Count	Is in VerbNet	Is in FrameNet	Is in both	is not in both	FN Frames	Is Synonyms	Synonyms	Is any syn in Net	Synonyms in VN	Synonyms in FN
entreat	1	0	1	0	0	Request	0		0		
ascend	1	1	1	1	0	Path_shape,Traversing,Intentional_traversing	0		0		
enumerate	1	0	0	0	1		1	numerate,recite,count,enumerate,itemize,number,itemise	3	recite,count	count,number
frequent	5	0	1	0	0	Frequency,Condition_symptom_relation	0		0		
retreat	1	1	1	1	0	Quitting_a_place	0		0		
depart	14	1	1	1	0	Departing,Law_enforcement_agency	0		0		
pass	4	1	1	1	0	Others_situation_as_stimulus,Communication,Experiencer_focus,Death,Path_shape,Aggregate,Compliance,Giving,Natural_features,Process_end,Dispersal,Fall_asleep,Rite,Surpassing,Social_interaction_evaluation,Documents,Key,Passing,Roadways,Traversing,Passing_off	0		0		
enter	7	1	1	1	0	Experiencer_obj,Arriving,Path_shape,Stimulus_focus,Activity_start,Medical_specialties,Cause_to_experience,Part_inner_outer,People_by_vocation,Locale_by_use,Medical_professionals,Emphasizing,Becoming_a_member	0		0		
proceed	13	1	1	1	0	Self_motion,Process_continue	0		0		
return	20	1	1	1	0	Arriving,Resurrection	0		0		
fly	3	1	1	1	0	Motion,Self_motion,Bringing,Escaping,Compatibility,Isolated_places,Ride_vehicle,Roadways,Operate_vehicle	0		0		
navigate	1	1	0	0	0		0		0		
reach	13	1	1	1	0	Body_movement,Arriving,Path_shape,Change_position_on_a_scale,Compliance,Contacting,Speak_on_topic,Statement,Range	0		0		
escape	8	1	1	1	0	Departing,Escaping,Avoiding,Elusive_goal,Quitting_a_place	0		0		
flee	4	1	1	1	0	Evading,Fleeing	0		0		
rush	11	1	1	1	0	Emotion_directed,Experiencer_obj,Filling,Self_motion,Cause_harm,Grooming,Calendric_unit,Abounding_with,Impact,Reshaping,Fluidic_motion,Grinding,Ground_up,Placing,Personal_relationship,Fire_burning	0		0		
accompany	3	1	1	1	0	Cotheme	0		0		
approach	1	1	1	1	0	Arriving,Means	0		0		
advance	4	1	1	1	0	Self_motion,Change_position_on_a_scale,Position_on_a_scale,Giving,Change_event_time,Progression,Stage_of_progress,Cause_to_make_progress	0		0		
walk	2	1	1	1	0	Self_motion,Cotheme,Difficulty,Political_actions,Roadways	0		0		
convey	4	1	1	1	0	Communication,Bringing,Successfully_communicate_message	0		0		
stop	2	1	1	1	0	Stimulus_focus,Activity_stop,Process_stop,Halt,Preventing_or_letting,Thwarting,Drop_in_on	0		0		
arrange	1	1	1	1	0	Placing,Making_arrangements,Arranging,Scheduling	0		0		
mount	4	1	1	1	0	Natural_features,Quantity,Improvised_explosive_device,Transportation_status,Amounting_to,Quantified_mass,Attaching,Traversing,Board_vehicle,Disembarking,Being_in_category	0		0		
land	5	1	1	1	0	Scrutiny,Locale_by_ownership,Natural_features,Biological_area,Locative_relation,Chemical-sense_description,Importance,Vehicle_landing,Cause_to_land,Emergency_fire,Non-gradable_proximity,Architectural_part,Secrecy_status,Political_locales,Foreign_or_domestic_country	0		0		
leave	21	1	1	1	0	Causation,Departing,Path_shape,Giving,Quitting,Cause_to_fragment,Deny_or_grant_permission,Temporary_leave,Forming_relationships,Abandonment	0		0		
visit	4	1	1	1	0	Arriving,Visiting	0		0		
