Count	Annotated Travelled Locations	Found Travelled Locations
1	Kambalu	Kambalu
2	Pulisangan	Pulisangan
3	Geo-gui	Geo-gui
4	Ta-in-fu	Ta-in-fu
5	Pi-an-fu	Pi-an-fu
6	Caya-fu	
7	Kara-moran river	
8	Ca-cian-fu	Ca-cian-fu
9	Quen-gian-fu	Quen-gian-fu
10	Cun-chin	Cun-chin
11	Achalech-Manji	Achalech-Manji
12	Sin-din-fu	Sin-din-fu
13	Quian-su	
14	Thibet	
15	Kain-du	
16	Brius River	
17	Caraian	
18	Yaci	Yaci
19	Karazan	Karazan
20	Kardanan	
21	Vociam	
22	Anniz	Anniz
23	Mien	
24	Bangala	
25	Kangigu	
26	Amu	
27	Tholoman	Tholoman
28	Cyn-gui	
29	Singul	
30	Sin-din-fu	Sin-din-fu
31	Gin-gui	Gin-gui
32	Ca-cian-fu	Ca-cian-fu
33	Cian-glu	Cian-glu
34	Cian-gli	Cian-gli
35	Condi-fu	Condi-fu
36	Sin-gui	Sin-gui
37	Lin-gui	Lin-gui
38	Pin-gui	Pin-gui
39	Cin-gui	Cin-gui
40	Kara-moran river	
41	Manji	Manji
42	Koi-gan-zu	Koi-gan-zu
43	Pau-chym	Pau-chym
44	Chaym	Chaym
45	Tin-gui	Tin-gui
46	Yan-gui	Yan-gui
47	Nan-ghin	
48	Sa-yan-fu	Sa-yan-fu
49	Sin-gui	Sin-gui
50	Kiang river	
51	Cai-gui	
52	Cin-ghian-fu	Cin-ghian-fu
53	Cin-ghin-gui	Cin-ghin-gui
54	Sin-gui	Sin-gui
55	Un-gui	Un-gui
56	Ughiam	
57	Kin-sai	Kin-sai
58	Gan-fu	
59	Kin-sai	Kin-sai
60	Tam-pin-gui	Tam-pin-gui
61	Un-gui	Un-gui
62	Chen-gui	Chen-gui
63	Cian-cian	
64	Can-gui	
65	Fu-gui	Fu-gui
66	Que-lin-fu	Que-lin-fu
67	Fu-gui	Fu-gui
68	Con-cha	
69	Zai-tun	Zai-tun
70	Ti-min-gui	
