Count	Annotated Travel
1	son
2	Kambalu
3	Geo-gui 
4	Pi-an-fu
5	Ca-cian-fu
6	Quen-gian-fu
7	Cun-chin
8	Achalech-Manji
9	Manji
10	Brius
11	Yaci
12	Karazan
13	Mien
14	India
15	Sinugul
16	Sin-din-fu
17	Gin-gui
18	Cian-glu
19	Cian-gli
20	Sin-gui
21	Lin-gui
22	Pin-gui
23	Manji
24	Koi-gan-zu
25	Pau-chym
26	Tin-gui
27	Yan-gui
28	Cin-ghian-fu
29	Kin-sai
30	Ughim
31	Kin-sai
32	Un-gui
33	Chen-gui
34	Can-giu
35	Fu-gui
36	Que-lin-fu
37	Fu-gui
38	Zai-tun
