Count	Annotated Travel
1	Kambalu
2	Ca-cian-fu
3	Cian-glu
4	Cian-gli
5	Pin-gui
6	Manji 
7	Koi-gan-zu
8	Sa-yan-fu
9	Sin-gui
10	Cin-ghin-gui
11	Kin-sai 
12	Manji
13	Cathay 
14	Manji
15	Kin-sai 
16	Tam-pin-gui
