Count	Annotated Travel
1	son
2	Kambalu
3	Ca-cian-fu
4	Mien
5	Cian-glu
6	Cian-gli
7	Pin-gui
8	Manji
9	Sin-gui
10	Kin-sai
11	Manji
12	Kin-sai
