Verb	Count	Is in VerbNet	Is in FrameNet	Is in both	is not in both	FN Frames	Is Synonyms	Synonyms	Is any syn in Net	Synonyms in VN	Synonyms in FN
depart	12	1	1	1	0	Departing,Law_enforcement_agency	0		0		
pass	18	1	1	1	0	Others_situation_as_stimulus,Communication,Experiencer_focus,Death,Path_shape,Aggregate,Compliance,Giving,Natural_features,Process_end,Dispersal,Fall_asleep,Rite,Surpassing,Social_interaction_evaluation,Documents,Key,Passing,Roadways,Traversing,Passing_off	0		0		
enter	9	1	1	1	0	Experiencer_obj,Arriving,Path_shape,Stimulus_focus,Activity_start,Medical_specialties,Cause_to_experience,Part_inner_outer,People_by_vocation,Locale_by_use,Medical_professionals,Emphasizing,Becoming_a_member	0		0		
proceed	1	1	1	1	0	Self_motion,Process_continue	0		0		
cross	5	1	1	1	0	Body_movement,Becoming_aware,Emotion_directed,Path_shape,Distributed_position,Dimension,Body_description_part,Weapon,Court_examination,Roadways,Traversing,Successfully_communicate_message	0		0		
return	10	1	1	1	0	Arriving,Resurrection	0		0		
abandon	1	1	1	1	0	Activity_stop,Quitting_a_place,Abandonment	0		0		
navigate	1	1	0	0	0		0		0		
quit	1	1	1	1	0	Activity_stop,Locative_relation,Verdict,Quitting,Morality_evaluation,Fairness_evaluation,Process_stop,Quitting_a_place	0		0		
reach	8	1	1	1	0	Body_movement,Arriving,Path_shape,Change_position_on_a_scale,Compliance,Contacting,Speak_on_topic,Statement,Range	0		0		
escape	2	1	1	1	0	Departing,Escaping,Avoiding,Elusive_goal,Quitting_a_place	0		0		
follow	1	1	1	1	0	Relative_time,Compliance,Cotheme,Grasp,Time_vector	0		0		
flee	2	1	1	1	0	Evading,Fleeing	0		0		
revisit	1	0	1	0	0	Visiting	0		0		
rush	5	1	1	1	0	Emotion_directed,Experiencer_obj,Filling,Self_motion,Cause_harm,Grooming,Calendric_unit,Abounding_with,Impact,Reshaping,Fluidic_motion,Grinding,Ground_up,Placing,Personal_relationship,Fire_burning	0		0		
approach	3	1	1	1	0	Arriving,Means	0		0		
advance	3	1	1	1	0	Self_motion,Change_position_on_a_scale,Position_on_a_scale,Giving,Change_event_time,Progression,Stage_of_progress,Cause_to_make_progress	0		0		
walk	1	1	1	1	0	Self_motion,Cotheme,Difficulty,Political_actions,Roadways	0		0		
run	4	1	1	1	0	Duplication,Body_movement,Communication_noise,Emotion_directed,Cause_motion,Motion_noise,Path_shape,Self_motion,Make_noise,Cause_harm,Body_parts,Expend_resource,Intoxication,Body_description_part,Bringing,Impact,Reshaping,Fluidic_motion,Grinding,Cause_impact,Leadership,Fugitive,Friction,Sounds,Practice,Roadways,Vehicle_subpart,Operating_a_system,Fleeing,Invading	0		0		
leave	11	1	1	1	0	Causation,Departing,Path_shape,Giving,Quitting,Cause_to_fragment,Deny_or_grant_permission,Temporary_leave,Forming_relationships,Abandonment	0		0		
visit	5	1	1	1	0	Arriving,Visiting	0		0		
travel	11	1	1	1	0	Motion,Travel	0		0		
start	1	1	1	1	0	Emotion_directed,Experiencer_obj,Stimulus_focus,Activity_start,Catching_fire,Process_start,Process_resume,Activity_resume,Cause_to_resume,Temporal_subregion	0		0		
come	27	1	1	1	0	Becoming_aware,Coming_up_with,Communication_response,Motion,Arriving,Relative_time,Eventive_affecting,Process_end,Waking_up,Text,Coming_to_be,Suitability,Come_together,Amalgamation,Being_born,Come_into_effect,Becoming,Transition_to_a_situation,Come_down_with,Origin,Reveal_secret,Successful_action,Resurrection,Sidereal_appearance,Earnings_and_losses,Conquering	0		0		
drive	2	1	1	1	0	Cause_motion,Self_motion,Bringing,Attack,People_by_vocation,Subjective_influence,Roadways,Operate_vehicle	0		0		
rid	3	1	1	1	0	Mental_property,Self_motion,Containers,Natural_features,Locative_relation,Judgment_communication,Calendric_unit,Medical_conditions,Being_rotted,Emptying,Ride_vehicle,Surrounding,Connecting_architecture,Building_subparts,Roadways,Surviving,Operate_vehicle	0		0		
continue	1	1	1	1	0	Activity_ongoing,Activity_stop,Process_continue,Process_stop	0		0		
lead	4	1	1	1	0	Causation,Request,Entering_of_plea,Prevarication,Cotheme,Appellations,Performers_and_roles,Leadership,Criminal_investigation,Intentional_deception,Condition_symptom_relation,Talking_into,First_rank	0		0		
sail	1	1	1	1	0	Self_motion,Attack,Member_of_military,Ride_vehicle,Operate_vehicle	0		0		
pursue	4	1	1	1	0	Cotheme,Seeking_to_achieve	0		0		
arrive	2	1	1	1	0	Arriving,Personal_success	0		0		
move	3	1	1	1	0	Body_movement,Motion,Cause_motion,Removing,Change_position_on_a_scale,Cause_change_of_position_on_a_scale,Intentionally_act,Change_event_time,Undressing	0		0		
swim	1	1	1	1	0	Self_motion,Clothing	0		0		
ride	1	1	1	1	0	Self_motion,Locative_relation,Judgment_communication,Ride_vehicle,Surrounding,Surviving,Operate_vehicle	0		0		
march	5	1	1	1	0	Self_motion	0		0		
go	42	1	1	1	0	Categorization,Scrutiny,Discussion,Motion,Emotion_active,Emotion_directed,Experiencer_obj,Ceasing_to_be,Removing,Self_motion,Perception_active,Perception_body,Make_noise,Containers,Commerce_scenario,Attempt,Possession,Hair_configuration,Clothing,Expertise,Stimulus_focus,Accoutrements,Wearing,Expend_resource,Event,Natural_features,Exemplar,Being_named,Ingestion,Process_continue,Avoiding,Releasing,Firing,Appellations,Out_of_existence,Desirability,Compatibility,Morality_evaluation,Social_interaction_evaluation,Dynamism,Isolated_places,Color,Leadership,Sociability,Purpose,Deny_or_grant_permission,Subordinates_and_superiors,Endeavor_failure,Getting_triggered,Personal_relationship,Usefulness,Fire_going_out,Come_into_effect,Chatting,Transition_to_a_quality,People_by_origin,Losing_it,Buildings,Subjective_influence,Speak_on_topic,Sex,Undergo_change,Forgoing,Organization,Required_event,Desirable_event,Successful_action,Social_event_individuals,Size,Store,Going_back_on_a_commitment,Waver_between_options,Rejuvenation,Time_vector,Getting_underway,Undergoing,Proportional_quantity,Have_associated,Attending	0		0		
