	Entity	Tag	Reference
751	Cuyné(Kuynuk)	 	Murray
752	Cycle	FALSE	Yule
753	Cyn-gui	Location	Murray
754	Cypresses	FALSE	Yule
755	Cyprus	FALSE	Yule
756	Cyrus	Person	Yule
757	D'Alboquerque	FALSE	Yule
758	D'Anghieria	FALSE	Yule
759	D'Ely	FALSE	Yule
760	Da Gama	FALSE	Yule
761	Dabul	FALSE	Yule
762	Dagroian	Location	Yule
763	Dailiu (Tali)	FALSE	Yule
764	Dakiï¿½nus	 	Yule
765	Dalada	FALSE	Yule
766	Dalai Lama	FALSE	Yule
767	Dalivar	Location	Yule
768	Dalmian	FALSE	Yule
769	Damas	FALSE	Yule
770	Damascus	Location	Yule
771	Damasks	FALSE	Yule
772	Damghan	FALSE	Yule
773	Dancing dervishes	FALSE	Yule
774	Dancing girls	FALSE	Yule
775	Dandolo	Person	Murray,Yule
776	Dantapura	FALSE	Yule
777	Dante	FALSE	Yule
778	Darabjird	FALSE	Yule
779	Darah	FALSE	Yule
780	Dariel	FALSE	Yule
781	Darius	Person	Yule
782	Dark Ocean of the South	FALSE	Yule
783	Darkness	FALSE	Yule
784	Darraj	FALSE	Yule
785	Daruna	Location	Yule
786	Darwaz	FALSE	Yule
787	Dasht	FALSE	Yule
788	Dasht-i-Lut(Desert of Lï¿½t) 	 	Yule
789	Dashtistan tribe and district	FALSE	Yule
790	Dashtï¿½b	 	Yule
791	Dates 	FALSE	Yule
792	Daughters of Marco Polo	FALSE	Yule
793	David	Person	Yule
794	Davids	Person	Yule
795	Davis	Person	Yule
796	Dawaro	FALSE	Yule
797	Daya	FALSE	Yule
798	Daï¿½tu	 	Yule
799	De Barros	FALSE	Yule
800	De Bode	FALSE	Yule
801	De Borron	FALSE	Yule
802	De Guignes		Murray
803	De la Croix	FALSE	Yule
804	Dead	FALSE	Yule
805	Debt	FALSE	Yule
806	Decima	FALSE	Yule
807	Decimal organisation of Tartar armies	FALSE	Yule
808	Decius	Person	Yule
809	Deghï¿½ns	 	Yule
810	Deh Bakri	FALSE	Yule
811	Dehï¿½nah	 	Yule
812	Delhi	Location	Yule
813	Demoiselle Crane	FALSE	Yule
814	Deogir	FALSE	Yule
815	Depopulation of Badakhshan	FALSE	Yule
816	Derbend	Location	Yule
817	Deserts	FALSE	Yule
818	Desgodins	FALSE	Yule
819	Despina Khatun	FALSE	Yule
820	Devadï¿½si	 	Yule
821	Devapattan	FALSE	Yule
822	Devil trees	FALSE	Yule
823	Devil-dancing	FALSE	Yule
824	Devils	FALSE	Yule
825	Devï¿½ria	 	Yule
826	Dhafar (Dofar, Zhafar)	Location	Yule
827	Dhï¿½lkarnain 	 	Yule
828	Dialects	FALSE	Yule
829	Diamonds in India	FALSE	Yule
830	Dilï¿½war	 	Yule
831	Dimitri II	Person	Yule
832	Dinh Tiï¿½n-hwï¿½ng	 	Yule
833	Dinï¿½r	 	Yule
834	Dinï¿½r of Red Gold	 	Yule
835	Diocletian	FALSE	Yule
836	Dir	Location	Yule
837	Dirakht-i-Fazl	FALSE	Yule
838	Dirakht-i-Kush	FALSE	Yule
839	Dirhem-Kub	Person	Yule
840	Dirï¿½wal	 	Yule
841	Dish of Sakya or of Adam	FALSE	Yule
842	Diu City	FALSE	Yule
843	Diul-Sind	FALSE	Yule
844	Divination by twigs or arrows	FALSE	Yule
845	Dixan	FALSE	Yule
846	Dizabulus	FALSE	Yule
847	Dizful River	FALSE	Yule
848	Djao (Chao) Namian Sumï¿½  (Kaipingfu)	 	Yule
849	Djaya	FALSE	Yule
850	Doctors at Kinsay	FALSE	Yule
851	Dofar	FALSE	Yule
852	Dog-headed races	FALSE	Yule
853	Dog-sledging in Far North	FALSE	Yule
854	Dogana	FALSE	Yule
855	Doghï¿½bah River	 	Yule
856	Dogs		Murray,Yule
857	Dolfino	Person	Yule
858	Dolonnï¿½r	 	Yule
859	Dominican friars; their mission to Persia		Murray
860	Dominicans	FALSE	Yule
861	Dor	Person	Murray
862	Dorah Pass	FALSE	Yule
863	Doria	Person	Yule
864	Dorjï¿½	 	Yule
865	Douglas	FALSE	Yule
866	Doyley	Person	Yule
867	Dragoian (Ta-hua-Mien	FALSE	Yule
868	Dragoian (Ta-hua-Mien)	FALSE	Yule
869	Drawers	FALSE	Yule
870	Dreams	FALSE	Yule
871	Drums	FALSE	Yule
872	Du Bose	FALSE	Yule
873	Du Halde's estimate of the revenues of China		Murray
874	Dua Khan	FALSE	Yule
875	Ducat	FALSE	Yule
876	Dudley	FALSE	Yule
877	Duel	FALSE	Yule
878	Dufar or Dofar	Location	Murray
879	Dufour	FALSE	Yule
880	Duhalde	FALSE	Yule
881	Dukuz Khatun	FALSE	Yule
882	Dulcarnon (Zulkarnain)	FALSE	Yule
883	Dulites	FALSE	Yule
884	Dumas	FALSE	Yule
885	Dumb trade	FALSE	Yule
886	Duncan	FALSE	Yule
887	Duplicates in geography	FALSE	Yule
888	Durga Temple	FALSE	Yule
889	Dursamand	FALSE	Yule
890	Dust-storms	FALSE	Yule
891	Duties	FALSE	Yule
892	Dutthagamini	Person	Yule
893	Dwara Samudra	FALSE	Yule
894	Dzegun-tala	FALSE	Yule
895	Dzungaria	FALSE	Yule
896	Dï¿½Avezac	 	Yule
897	Dï¿½Orlï¿½ans	 	Yule
898	Dï¿½rerï¿½s Map of Venice	 	Yule
899	Dï¿½rï¿½pur 	 	Yule
900	Eagle mark on shoulder of Georgian kings	FALSE	Yule
901	Eagle-wood	FALSE	Yule
902	Eagles	FALSE	Yule
903	Earth honoured	FALSE	Yule
904	East	FALSE	Yule
905	Ebony (bonus)	FALSE	Yule
906	Edkins	FALSE	Yule
907	Edward I	FALSE	Yule
908	Edward II	FALSE	Yule
909	Effeminacy	FALSE	Yule
910	Eggs of Ruc and Aepyornis	FALSE	Yule
911	Egrigaia	Location	Yule
912	Egrigaia (Ninghia)	Location	Murray
913	Eighurs	Location	Murray
914	Ela (cardamom)	FALSE	Yule
915	Elchidai	FALSE	Yule
916	Elenovka	FALSE	Yule
917	Elephantiasis	FALSE	Yule
918	Elephants		Murray,Yule
919	Eli	Location	Yule
920	Eli or Dely	Location	Murray
921	Elima	FALSE	Yule
922	Elixir vitae of the Jogis	FALSE	Yule
923	Elliot	Person	Yule
924	Emad	Person	Yule
925	Embroidery	Person	Yule
926	Empoli	FALSE	Yule
927	Empusa	FALSE	Yule
928	Enchanters	FALSE	Yule
929	Enchantments	FALSE	Yule
930	Engano Island	FALSE	Yule
931	Engineering feat	FALSE	Yule
932	Engineers	FALSE	Yule
933	England	Person	Yule
934	English trade and character in Asia	FALSE	Yule
935	Enlightenment	Location	Yule
936	Entity Name	Tag	Yule
937	Erba	FALSE	Yule
938	Erculin	FALSE	Yule
939	Erdeni Tso (Erdenidsu	FALSE	Yule
940	Eremites (Rishis	FALSE	Yule
941	Erginul	Location	Murray
942	Erguiul	Location	Yule
943	Erivan	FALSE	Yule
944	Ermine	FALSE	Yule
945	Erzinjan	FALSE	Yule
946	Erzrum (Arziron)	FALSE	Yule
947	Eschiel	FALSE	Yule
948	Escier (Shaher)	Location	Murray
949	Esher (Shehr, Es-shehr)	FALSE	Yule
950	Essentemur (Isentimur)	Person	Yule
951	Estimo	FALSE	Yule
952	Etchmiadzin Monastery	FALSE	Yule
953	Ethiopia and India	FALSE	Yule
954	Ethiopian sheep	FALSE	Yule
955	Etiquette of the Mongol Court	FALSE	Yule
956	Etymologies	FALSE	Yule
957	Etzina	FALSE	Yule
958	Eunuchs	FALSE	Yule
959	Euphrates	FALSE	Yule
960	Euphrates river	Location	Murray
961	Europeans		Murray
962	Euxine	FALSE	Yule
963	Evelyn's Diary	FALSE	Yule
964	Execution of Princes of the Blood	FALSE	Yule
965	Eyircayï¿½ 	 	Yule
966	Ezina	Location	Murray
967	Facen	Person	Yule
968	Facfur	Person	Murray
969	Faghfur (Facfur)	Person	Yule
970	Faizabad in Badakhshan	FALSE	Yule
971	Fakanï¿½r	 	Yule
972	Fakata	FALSE	Yule
973	Fakhruddin Ahmad	Person	Yule
974	Falconers	FALSE	Yule
975	Falconry in China		Murray
976	Falcons	FALSE	Yule
977	Famine	FALSE	Yule
978	Fan Wen-hu	FALSE	Yule
979	Fanchan Lake	FALSE	Yule
980	Fanching	FALSE	Yule
981	Fandaraina	FALSE	Yule
982	Fansur	Location	Yule
983	Fansuri camphor	FALSE	Yule
984	Fariab	FALSE	Yule
985	Faro of Constantinople	FALSE	Yule
986	Farriers	FALSE	Yule
987	Fars	Location	Yule
988	Fashiyah	Organization	Yule
989	Fassa	FALSE	Yule
990	Fasting days	Person	Yule
991	Fattan	FALSE	Yule
992	Fausto	Person	Yule
993	Fazl	FALSE	Yule
994	Feili	FALSE	Yule
995	Female attendants on Chinese Emperors	FALSE	Yule
996	Ferlec	Location	Yule
997	Fernandez	FALSE	Yule
998	Ferrier	FALSE	Yule
999	Festivals		Murray,Yule
1000	Fiag	Location	Yule
1001	Fidï¿½wï¿½	 	Yule
1002	Filial Piety in China	FALSE	Yule
1003	Filippi	Person	Yule
1004	Finn	FALSE	Yule
1005	Fiordelisa	Person	Yule
1006	Firando Island	Location	Yule
1007	Firdï¿½s	 	Yule
1008	Fire	FALSE	Yule
1009	Fire worshippers (Guebres) in Persia	Person	Murray
1010	Fire-baptism	FALSE	Yule
1011	Fire-worship	FALSE	Yule
1012	Firishta	Person	Yule
1013	Fish	FALSE	Yule
1014	Fish-oil	FALSE	Yule
1015	Florin	FALSE	Yule
1016	Flour (Sago	FALSE	Yule
1017	Flï¿½ckiger	 	Yule
1018	Fo-kien	Location	Murray
1019	Fog	FALSE	Yule
1020	Fokien	FALSE	Yule
1021	Folin (Byzantine Empire)	FALSE	Yule
1022	Fondaco	FALSE	Yule
1023	Foot-mark on Adam's Peak	FALSE	Yule
1024	Foot-posts in Cathay	FALSE	Yule
1025	Forg	FALSE	Yule
1026	Formosa	FALSE	Yule
1027	Forsyth	FALSE	Yule
1028	Fortune	FALSE	Yule
1029	Foundlings	FALSE	Yule
1030	Four-horned sheep	FALSE	Yule
1031	Fowls with hair	FALSE	Yule
1032	Foxes	FALSE	Yule
1033	Fozlï¿½n	 	Yule
1034	Fra terre (Interior)	FALSE	Yule
1035	Fracastorious	FALSE	Yule
1036	Frampton	Person	Murray
1037	Franciscan converts	FALSE	Yule
1038	Francolin (darrï¿½j of the Persians)	 	Yule
1039	Frankincense	FALSE	Yule
1040	Frederic II	Person	Yule
1041	French	FALSE	Yule
1042	French Expedition up the Kamboja River	FALSE	Yule
1043	French Geographical Society		Murray
1044	French mission and missionaries in China	FALSE	Yule
1045	Frenchmen	FALSE	Yule
1046	Frere	Person	Yule
1047	Froissart	FALSE	Yule
1048	Frï¿½re charnel	 	Yule
1049	Fu-gui or Concha	Location	Murray
1050	Fuchau (Fuju)	FALSE	Yule
1051	Fuen (Fen) ho 	Location	Yule
1052	Fuju (Fokien and Fuchau)	Location	Yule
1053	Funeral rites	FALSE	Yule
1054	Fungul	Location	Yule
1055	Furs	Person	Yule
1056	Fusang	Location	Yule
1057	Fuyang	FALSE	Yule
1058	Fuzo	FALSE	Yule
1059	Gabala	Person	Yule
1060	Gagry	FALSE	Yule
1061	Gaisue	Person	Yule
1062	Galashkird	FALSE	Yule
1063	Galeasse	FALSE	Yule
1064	Galeazza	FALSE	Yule
1065	Galingale	FALSE	Yule
1066	Galletti	FALSE	Yule
1067	Galley-slaves 	FALSE	Yule
1068	Galleys of the Middle Ages	FALSE	Yule
1069	Gambling	FALSE	Yule
1070	Game	FALSE	Yule
1071	Game Laws	FALSE	Yule
1072	Gan-fu (Ning-po)	Location	Murray
1073	Gan-p'u	FALSE	Yule
1074	Ganapati Kings	FALSE	Yule
1075	Gandar	Person	Yule
1076	Gandhï¿½ra 	 	Yule
1077	Ganfu	Location	Yule
1078	Ganja	Location	Yule
1079	Gantanpouhoa	Person	Yule
1080	Gantï¿½r 	 	Yule
1081	Gardenia	FALSE	Yule
1082	Gardinerï¿½s (misprinted Gardnerï¿½s)	 	Yule
1083	Gardner	Person	Yule
1084	Garmsir	Person	Yule
1085	Garnier	FALSE	Yule
1086	Garrisons	FALSE	Yule
1087	Gat-pauls	FALSE	Yule
1088	Gate of Iron	FALSE	Yule
1089	Gates	Location	Yule
1090	Gauenispola Island	Location	Yule
1091	Gaui or Pariahs of Southern India		Murray
1092	Gauristan	FALSE	Yule
1093	Gavraz villages	FALSE	Yule
1094	Gazaria	FALSE	Yule
1095	Gedrosi	FALSE	Yule
1096	Gelath in Imeretia	FALSE	Yule
1097	Genealogy of Polos	FALSE	Yule
1098	Gengis	Person	Murray
1099	Genoa	FALSE	Yule
1100	Genoese	FALSE	Yule
1101	Gentile Plural names converted into local singulars	FALSE	Yule
1102	Geo-gui or Gin-gui(Tso-tcheou)	Location	Murray
1103	Geographical Society of Paris		Murray
1104	Geographical Text of Polo's Book constantly quoted	Person	Yule
1105	George (Jirjis Yurji, Gurgï¿½n)	 	Yule
1106	Georgia	Location	Murray
1107	Georgia (Georgiana)	Location	Yule
1108	Gerfalcons 	FALSE	Yule
1109	Gerini	FALSE	Yule
1110	German Follower of the Polos	FALSE	Yule
1111	Ghaissuddin Balban (Asedin Soldan)	Person	Yule
1112	Ghazan (Casan) Khan of Persia	Person	Yule
1113	Ghel	FALSE	Yule
1114	Ghellï¿½ (Gï¿½lï¿½)	 	Yule
1115	Ghes	FALSE	Yule
1116	Ghiuju	FALSE	Yule
1117	Ghiyas ed-din	Person	Yule
1118	Ghori	Location	Yule
1119	Ghï¿½r	 	Yule
1120	Ghï¿½ran country	 	Yule
1121	Giglioli	Person	Yule
1122	Gilgit	FALSE	Yule
1123	Gill	Location	Yule
1124	Ginao	FALSE	Yule
1125	Gindanes of Herodotus	FALSE	Yule
1126	Ginger	FALSE	Yule
1127	Ginghintalas (Barkoul)	Location	Murray
1128	Giraffes	FALSE	Yule
1129	Girardo	FALSE	Yule
1130	Girdkuh	Location	Yule
1131	Girls	FALSE	Yule
1132	Gittarchan	FALSE	Yule
1133	Glaza (Ayas)	FALSE	Yule
1134	Gleemen and jugglers	FALSE	Yule
1135	Goa	FALSE	Yule
1136	Gobernador	FALSE	Yule
1137	Gog and Magog (Ung and Mungul)	Location	Yule
1138	Gogo	FALSE	Yule
1139	Golconda	Location	Murray
1140	Golconda diamond mines	FALSE	Yule
1141	Gold	FALSE	Yule
1142	Gold and silver towers of Mien	Person	Yule
1143	Gold dust in Tibet	Location	Yule
1144	Golden King and Prester John	FALSE	Yule
1145	Gomispola	FALSE	Yule
1146	Gomushtapah	FALSE	Yule
1147	Gomuti palm	FALSE	Yule
1148	Gondophares	FALSE	Yule
1149	Gordonï¿½s ï¿½Ever Victorious Armyï¿½	 	Yule
1150	Gordun Shï¿½h	 	Yule
1151	Goriosan	FALSE	Yule
1152	Goshawks	FALSE	Yule
1153	Gothia (Crimean	FALSE	Yule
1154	Govy	FALSE	Yule
1155	Goza	FALSE	Yule
1156	Gozurat	Location	Murray,Yule
1157	Goï¿½s	 	Yule
1158	Goï¿½tre at Yarkand	 	Yule
1159	Grail	Person	Yule
1160	Granaries	FALSE	Yule
1161	Grapes in Shan-si	FALSE	Yule
1162	Grass-cloths	FALSE	Yule
1163	Grasso	FALSE	Yule
1164	Great	FALSE	Yule
1165	Great Bear (Meistre	FALSE	Yule
1166	Great wall of China	Location	Murray
1167	Greece	FALSE	Yule
1168	Greek fire	FALSE	Yule
1169	Greeks	FALSE	Yule
1170	Green	FALSE	Yule
1171	Gregorieff	Person	Yule
1172	Gregory X	Person	Yule
1173	Gregory X.	Person	Murray
1174	Grenard	FALSE	Yule
1175	Grioni	FALSE	Yule
1176	Groat	FALSE	Yule
1177	Groot	Person	Yule
1178	Grote	Person	Yule
1179	Grueber and Dorville	FALSE	Yule
1180	Gryphon	FALSE	Yule
1181	Guasmul (Basmul	FALSE	Yule
1182	Guchluk	FALSE	Yule
1183	Gudar (village	FALSE	Yule
1184	Gudar (village)	FALSE	Yule
1185	Gudran	FALSE	Yule
1186	Guebers	FALSE	Yule
1187	Guilds of craftsmen at Kinsay	FALSE	Yule
1188	Guinea-fowl	FALSE	Yule
1189	Guions	FALSE	Yule
1190	Gujï¿½h	 	Yule
1191	Gumishï¿½Khï¿½nak	 	Yule
1192	Gunpowder	FALSE	Yule
1193	Gurgan	Person	Yule
1194	Gurï¿½Khan of Karacathay	 	Yule
1195	Gutturals	FALSE	Yule
1196	Guzerat (Gozurat	FALSE	Yule
1197	Gï¿½l	 	Yule
1198	Gï¿½ring	 	Yule
1199	Haast	Person	Yule
1200	Habsh (Abash	FALSE	Yule
1201	Habï¿½b-ullah of Khotan	 	Yule
1202	Hadhramaut (Sessania Adrumetorum)	FALSE	Yule
1203	Hadiah	FALSE	Yule
1204	Haffer	FALSE	Yule
1205	Hai-nan	Location	Yule
1206	Hairy men in Sumatra	FALSE	Yule
1207	Hajji Mahomed	FALSE	Yule
1208	Hakeddin	FALSE	Yule
1209	Half-breeds	FALSE	Yule
1210	Hamd Allah Mastaufi	Person	Yule
1211	Hamilton	Person	Yule
1212	Hammerï¿½Purgstall on Marco Polo	 	Yule
1213	Hamza Pantsï¿½ri	 	Yule
1214	Hamza of Ispahan	FALSE	Yule
1215	Hamï¿½m Arabs	 	Yule
1216	Han Yu	FALSE	Yule
1217	Han dynasty	Location	Yule
1218	Han-chung (Cuncun)	FALSE	Yule
1219	Han-kau	FALSE	Yule
1220	Hanbury	FALSE	Yule
1221	Hang-chau fu	FALSE	Yule
1222	Hanjam	FALSE	Yule
1223	Hansi	FALSE	Yule
1224	Harhaura	FALSE	Yule
1225	Harlez	FALSE	Yule
1226	Harran	FALSE	Yule
1227	Harshadeva	Person	Yule
1228	Harsuddi	Location	Yule
1229	Haru	FALSE	Yule
1230	Hashï¿½shï¿½n	 	Yule
1231	Hasik	FALSE	Yule
1232	Hassan	Person	Yule
1233	Hassï¿½n Kalï¿½	 	Yule
1234	Hastings	FALSE	Yule
1235	Hatan	FALSE	Yule
1236	Haunted deserts	FALSE	Yule
1237	Havret	Person	Yule
1238	Hawks	Person	Yule
1239	Hayton I. (Hethum	Person	Yule
1240	Hazbana	Person	Yule
1241	Hazï¿½ras	 	Yule
1242	He-lung Kiang	FALSE	Yule
1243	Heat	FALSE	Yule
1244	Heaven	Location	Yule
1245	Hedin	Person	Yule
1246	Hei-shui (Mongol Etsina) River	Location	Yule
1247	Heibak	FALSE	Yule
1248	Height	FALSE	Yule
1249	Heikel	Person	Yule
1250	Hel	FALSE	Yule
1251	Helena	Person	Yule
1252	Helli	Person	Yule
1253	Hemp of Kwei-chau	FALSE	Yule
1254	Henry II	Person	Yule
1255	Henry III	Person	Yule
1256	Heraclius	Person	Yule
1257	Herat	FALSE	Yule
1258	Hereditary trades	FALSE	Yule
1259	Hereford	FALSE	Yule
1260	Hermenia	Location	Yule
1261	Hermits of Kashmir	FALSE	Yule
1262	Herodotus	FALSE	Yule
1263	Hethum	FALSE	Yule
1264	Hiai ï¿½ or Kiai-chau (Caichu?)	 	Yule
1265	Hides (See Leather.)	FALSE	Yule
1266	Hili	FALSE	Yule
1267	Hill-people of Fo-kien	FALSE	Yule
1268	Hinaur	FALSE	Yule
1269	Hind	FALSE	Yule
1270	Hindu character	FALSE	Yule
1271	Hindus	Organization	Yule
1272	Hing-hwa	FALSE	Yule
1273	Hippopotamusï¿½ teeth	 	Yule
1274	Hips	FALSE	Yule
1275	Hirth	Person	Yule
1276	Hiuan-Tsung	Person	Yule
1277	Hiuen Tsang	Person	Yule
1278	Ho-nhi	FALSE	Yule
1279	Hoang-ho	Location	Murray
1280	Hochau	Location	Yule
1281	Hochung-fu (Cachanfu)	FALSE	Yule
1282	Hodgson	Person	Yule
1283	Hoernle	Person	Yule
1284	Hojos	FALSE	Yule
1285	Hokien-fu (Cacanfu)	FALSE	Yule
1286	Hokow	FALSE	Yule
1287	Holcombe	Location	Yule
1288	Hollingworth	FALSE	Yule
1289	Holy Sepulchre	FALSE	Yule
1290	Homeritae	FALSE	Yule
1291	Homi-cheu	FALSE	Yule
1292	Hondius map	FALSE	Yule
1293	Hooker	Person	Yule
1294	Hoolaku	Person	Murray
1295	Horiad (Oirad	FALSE	Yule
1296	Hormuz (Hormos	Person	Yule
1297	Hormuzdia	FALSE	Yule
1298	Horns of Ovis Poli	FALSE	Yule
1299	Horoscopes	FALSE	Yule
1300	Horsburgh	Person	Murray
1301	Horse-posts and Post-houses	FALSE	Yule
1302	Horse-stealing	FALSE	Yule
1303	Horses	Person	Yule
1304	Hosie	FALSE	Yule
1305	Hospitals	FALSE	Yule
1306	Hostelries	FALSE	Yule
1307	Hot springs in Armenia	FALSE	Yule
1308	Hounds	FALSE	Yule
1309	Hours	FALSE	Yule
1310	Hsi Hsia dynasty	Location	Yule
1311	Hu-chau fu (Vuju)	FALSE	Yule
1312	Hui-hui	FALSE	Yule
1313	Hukaji (Hogï¿½chi	 	Yule
1314	Hukwan-hien	FALSE	Yule
1315	Hullukluk	Location	Yule
1316	Human fat	FALSE	Yule
1317	Humboldt	FALSE	Yule
1318	Humï¿½yï¿½n	 	Yule
1319	Hun-ho (Sanghin River)	FALSE	Yule
1320	Hundred Eyes	FALSE	Yule
1321	Hung Hao	Person	Yule
1322	Hungary	FALSE	Yule
1323	Huns invade Europe		Murray
1324	Hunting equipment and Expedition	FALSE	Yule
1325	Hunï¿½war (Onore	 	Yule
1326	Hutton	Person	Yule
1327	Hwa-chau	FALSE	Yule
1328	Hwai River	FALSE	Yule
1329	Hwai-lu	FALSE	Yule
1330	Hwai-ngan-fu (Coiganju)	FALSE	Yule
1331	Hwan-ho	FALSE	Yule
1332	Hwang-ho (Yellow River	Location	Yule
1333	Hyena	FALSE	Yule
1334	Hyrcania	Person	Yule
1335	Hï¿½lakï¿½ Khan (Alau	 	Yule
1336	Iabadiu	FALSE	Yule
1337	Ibn Batuta (Moorish traveller	Person	Yule
1338	Ibn Fozlï¿½n	 	Yule
1339	Ibn-al-Furï¿½t	 	Yule
1340	Ichin-hien	FALSE	Yule
1341	Ichthyophagous cattle and people	FALSE	Yule
1342	Icon Amlac	Person	Yule
1343	Iconium	Location	Murray
1344	Iconium (Kuniyah	FALSE	Yule
1345	Idolatry (Buddhism) and Idolaters	FALSE	Yule
1346	Idols	FALSE	Yule
1347	Ieu	FALSE	Yule
1348	Ifat	FALSE	Yule
1349	Ig	FALSE	Yule
1350	Igba Zion	Person	Yule
1351	Ilchi	Location	Yule
1352	Ilchigadai Khan	Person	Yule
1353	Ilija	FALSE	Yule
1354	Ilkhan	FALSE	Yule
1355	Ilyï¿½ts	 	Yule
1356	Im Thurn	FALSE	Yule
1357	Imï¿½ms of the Ismailites	 	Yule
1358	Incense	FALSE	Yule
1359	India	Location	Yule
1360	Indian drugs to prolong life	FALSE	Yule
1361	Indies	FALSE	Yule
1362	Indifference	FALSE	Yule
1363	Indigo	FALSE	Yule
1364	Indo-China	FALSE	Yule
1365	Indragiri River	Location	Yule
1366	Infants	FALSE	Yule
1367	Ingushes of Caucasus	FALSE	Yule
1368	Innocent IV	Person	Yule
1369	Innocent IV.	Person	Murray
1370	Inscription	FALSE	Yule
1371	Insult	FALSE	Yule
1372	Intramural interment prohibited	FALSE	Yule
1373	Invulnerability	FALSE	Yule
1374	Irghai	FALSE	Yule
1375	Irish	Person	Yule
1376	Iron	FALSE	Yule
1377	Iron Gate (Derbend Pass	Location	Yule
1378	Irtish River	Location	Yule
1379	Isaac	Person	Yule
1380	Isabel	Person	Yule
1381	Isabeni	FALSE	Yule
1382	Isentemur (Sentemur	Person	Yule
1383	Ish	FALSE	Yule
1384	Ish-Kï¿½shm	 	Yule
1385	Iskandar	Person	Yule
1386	Islands	Location	Yule
1387	Islands of the Oriental Archipelago	Location	Murray
1388	Isle dï¿½Orleans	 	Yule
1389	Isle of Rubies (Ceylon)	Location	Yule
1390	Ismailites	FALSE	Yule
1391	Ismalies or Assassins	Person	Murray
1392	Ismaï¿½l	 	Yule
1393	Ispahan (Istanit	Location	Yule
1394	Israel in China	FALSE	Yule
1395	Iteration	FALSE	Yule
1396	Ivongo	FALSE	Yule
1397	Ivory trade	FALSE	Yule
1398	Izzuddin Muzaffar	Person	Yule
1399	Iï¿½tsing	 	Yule
1400	Jacinth	FALSE	Yule
1401	Jacobite Christians	FALSE	Yule
1402	Jacobs	FALSE	Yule
1403	Jade stone (jasper) of Khotan	FALSE	Yule
1404	Jaeschke	FALSE	Yule
1405	Jaffa	Person	Yule
1406	Jaipï¿½l	 	Yule
1407	Jalï¿½luddï¿½n of Khwarizm	 	Yule
1408	Jamaluddin	Person	Yule
1409	Jambi River	Location	Yule
1410	James of Aragon	Person	Yule
1411	Jamï¿½i Khï¿½tï¿½n	 	Yule
1412	Jamï¿½luddï¿½n-al-Thaibi	 	Yule
1413	Jangama sect	FALSE	Yule
1414	Janibeg	Person	Yule
1415	Japan	Location	Murray,Yule
1416	Japanese paper-money	FALSE	Yule
1417	Jaroslawl	FALSE	Yule
1418	Jaspar (Gaspar	FALSE	Yule
1419	Jasper and chalcedony	FALSE	Yule
1420	Jatolic	FALSE	Yule
1421	Jauchau	FALSE	Yule
1422	Java	Location	Murray,Yule
1423	Jawa	FALSE	Yule
1424	Jayaï¿½Sinhavarman II	 	Yule
1425	Jazirah	FALSE	Yule
1426	Jaï¿½zgï¿½n	 	Yule
1427	Jehangï¿½r (Jehan	 	Yule
1428	Jenkinson	FALSE	Yule
1429	Jerusalem	Location	Yule
1430	Jerï¿½n (Zarun	 	Yule
1431	Jesuit maps	FALSE	Yule
1432	Jesujabus	FALSE	Yule
1433	Jews	Organization	Yule
1434	Jibal	FALSE	Yule
1435	Jibal-ul-Thabï¿½l	 	Yule
1436	Jiruft	FALSE	Yule
1437	Jogis (Chughi)	FALSE	Yule
1438	John XXII	Person	Yule
1439	Johnson	Person	Yule
1440	Johnston	Person	Yule
1441	Johore	Person	Yule
1442	Jomard		Murray
1443	Jon (Jihon	Location	Yule
1444	Jor-fattan (Baliapatan)	FALSE	Yule
1445	Jordanus	FALSE	Yule
1446	Josephus	FALSE	Yule
1447	Jubb River	Location	Yule
1448	Judi	Location	Yule
1449	Jugglers	FALSE	Yule
1450	Juggling extraordinary	FALSE	Yule
1451	Juji	Person	Yule
1452	Juju (Cho-chau)	FALSE	Yule
1453	Julman	FALSE	Yule
1454	Junghuhn	FALSE	Yule
1455	Junks. (See also Ships.)	FALSE	Yule
1456	Jupï¿½r	 	Yule
1457	Justice	FALSE	Yule
1458	Justinian	Person	Yule
1459	Juzgï¿½na (Dogana	 	Yule
1460	Juzgï¿½na (Dogana)	 	Yule
1461	Jï¿½jnagar	 	Yule
1462	Jï¿½misfulah (Gauenispola)	 	Yule
1463	Kaan	Person	Yule
1464	Kaans	Person	Yule
1465	Kabul	Location	Yule
1466	Kadapah	FALSE	Yule
1467	Kafchi-kï¿½e	 	Yule
1468	Kahn-i-Panchur	FALSE	Yule
1469	Kaidu	Person	Murray
1470	Kaidu (Caidu) Khan	Person	Yule
1471	Kaifung-fu	Location	Yule
1472	Kaikhosru I. and III	Organization	Yule
1473	Kaikhï¿½tu (Kiacatu	 	Yule
1474	Kaikus	FALSE	Yule
1475	Kain-du	Location	Murray
1476	Kaipingfu (Keibung	FALSE	Yule
1477	Kairat-ul-Arab	FALSE	Yule
1478	Kais	FALSE	Yule
1479	Kaisarï¿½ya (Caesaraea	 	Yule
1480	Kajjala	Person	Yule
1481	Kakateya	Location	Yule
1482	Kakhyens	Location	Yule
1483	Kakula	FALSE	Yule
1484	Kalajan (Calachan)	FALSE	Yule
1485	Kalantan	FALSE	Yule
1486	Kalaï¿½ Atishparastan (Cala Ataperistan	 	Yule
1487	Kalaï¿½ Safed	 	Yule
