	Entity	Tag	Reference
177	Ashishin	FALSE	Yule
178	Asoka	Person	Yule
179	Asper	FALSE	Yule
180	Assassins	FALSE	Yule
181	Asses	FALSE	Yule
182	Asterius	Person	Yule
183	Astrakhan (Gittarchan)	FALSE	Yule
184	Astrolabe	FALSE	Yule
185	Astrology	FALSE	Yule
186	Atabegs	FALSE	Yule
187	Atkinson's Explorations impunged by Russians	FALSE	Yule
188	Atlas	FALSE	Yule
189	Audh (Oudh)	FALSE	Yule
190	Aufat	FALSE	Yule
191	Augury	FALSE	Yule
192	Aung Khan (Unc Can, see Prester John of Polo)	Person	Yule
193	Aurangzib	FALSE	Yule
194	Aurora	FALSE	Yule
195	Aussa	FALSE	Yule
196	Avarian	FALSE	Yule
197	Axum	FALSE	Yule
198	Ayas (Layas,Aiazzo, Giazza, port of Cilician Armenia)	FALSE	Yule
199	Ayuthia	FALSE	Yule
200	Azumiti	FALSE	Yule
201	Azure(Ultramarine)	Location	Yule
202	Aás	 	Yule
203	Aï¿½tius	 	Yule
204	Baatau	Person	Murray
205	Baba Buzurg	FALSE	Yule
206	Baboons	FALSE	Yule
207	Babylon	Location	Yule
208	Babylonish garments	FALSE	Yule
209	Baccadeo	FALSE	Yule
210	Baccanor	FALSE	Yule
211	Bacsi(Bakhshi)	FALSE	Yule
212	Badakhshan (Badashan)	Location	Yule
213	Badascia (Badakshan)	Location	Murray
214	Badger	FALSE	Yule
215	Badghï¿½s	 	Yule
216	Badgï¿½r	 	Yule
217	Badruddin Lulu of Mosul	FALSE	Yule
218	Badï¿½ï¿½n	 	Yule
219	Bafk	FALSE	Yule
220	Baft	FALSE	Yule
221	Bagdad	Location	Murray
222	Baghdad (Baudas)	FALSE	Yule
223	Bagratidae	FALSE	Yule
224	Bahar	FALSE	Yule
225	Bahrein	FALSE	Yule
226	Bahï¿½uddin Ayaz	 	Yule
227	Bai	FALSE	Yule
228	Baiberdon	FALSE	Yule
229	Baidu Khan	Person	Yule
230	Bailo	FALSE	Yule
231	Baiothony	Person	Murray
232	Bakhtyï¿½ris of Luristï¿½n	 	Yule
233	Baksi	Person	Murray
234	Baku	Location	Murray
235	Bala-Sagun	FALSE	Yule
236	Baldacchini (Baudekins)	FALSE	Yule
237	Baldach (Bagdad)	Location	Murray
238	Baldwin de Courtenay	Person	Yule
239	Bali	Location	Yule
240	Balios	FALSE	Yule
241	Balish (a money of account)	FALSE	Yule
242	Balista	FALSE	Yule
243	Balk(Balkh)	Location	Murray
244	Balkhash 	FALSE	Yule
245	Ballaad-ul-Falfal	FALSE	Yule
246	Ballads	FALSE	Yule
247	Ballard	FALSE	Yule
248	Balor	FALSE	Yule
249	Balsamodendron Mukul	FALSE	Yule
250	Balti	FALSE	Yule
251	Balustrade	FALSE	Yule
252	Bam-i-dunyah	Location	Yule
253	Bamboo 	Location	Yule
254	Bamian	FALSE	Yule
255	Bamm	FALSE	Yule
256	Bamo	Location	Yule
257	Bandar Abbas (Bandar-Abbasi)	FALSE	Yule
258	Bangala	Location	Yule
259	Bangala(Bengal)	Location	Murray
260	Bangu(Eastern Siberia)	Location	Murray
261	Baptism accompanied by branding in Abyssinia	FALSE	Yule
262	Bara	FALSE	Yule
263	Barac (Borrak)	Person	Yule
264	Barberino	FALSE	Yule
265	Bardesir	FALSE	Yule
266	Bargu 	FALSE	Yule
267	Barguchin Tugrum	FALSE	Yule
268	Barguerlac 	FALSE	Yule
269	Barguzinsk	FALSE	Yule
270	Barin	FALSE	Yule
271	Bark	FALSE	Yule
272	Barka Khan (Barca)	Person	Yule
273	Barka khan	Person	Murray
274	Barkul	FALSE	Yule
275	Barkï¿½t 	 	Yule
276	Barlaam and Josaphat	FALSE	Yule
277	Barley	FALSE	Yule
278	Baroch	FALSE	Yule
279	Baron-tala	FALSE	Yule
280	Barons	Person	Murray
281	Barozzi	Person	Yule
282	Barsauma (St. Brassamo)	FALSE	Yule
283	Barskul (Barscol)	FALSE	Yule
284	Barus	FALSE	Yule
285	Barussae Insulae	FALSE	Yule
286	Barygazu	FALSE	Yule
287	Bascra (Bussora)	Location	Murray
288	Bashai (Pashai)	FALSE	Yule
289	Basma	Location	Yule
290	Basmuls	FALSE	Yule
291	Baspa Lama and the Mongol character called after him	FALSE	Yule
292	Basra (Bascra or Bastra)	FALSE	Yule
293	Bathang	FALSE	Yule
294	Baths	FALSE	Yule
295	Batigala	FALSE	Yule
296	Batochina	FALSE	Yule
297	Bats	FALSE	Yule
298	Battas of Sumatra and their  cannibalism	FALSE	Yule
299	Batthala (Patlam in Ceylon)	FALSE	Yule
300	Battles	Person	Yule
301	Batu	Person	Yule
302	Baudas (Baghdad)	Location	Yule
303	Baudekins 	FALSE	Yule
304	Bauduin de Sebourc	FALSE	Yule
305	Bavaria	Location	Yule
306	Bawï¿½rij	 	Yule
307	Bayam	Person	Murray
308	Bayan Chingsian	Person	Yule
309	Bazacata	FALSE	Yule
310	Bdellium	FALSE	Yule
311	Beads	FALSE	Yule
312	Bearcoote	FALSE	Yule
313	Bears	FALSE	Yule
314	Beast and bird patterns on silks	FALSE	Yule
315	Beaten gold	FALSE	Yule
316	Beauty of Georgians	Person	Yule
317	Beds	FALSE	Yule
318	Beef not eaten in Maabar	FALSE	Yule
319	Bejas of the Red Sea Coast	FALSE	Yule
320	Belic' for 'Melic'	FALSE	Yule
321	Bell	FALSE	Yule
322	Bellal Rajas	FALSE	Yule
323	Belledi(or balladi)	FALSE	Yule
324	Belor (Beloor)	Location	Murray
325	Bendocquedar	FALSE	Yule
326	Benedict	Person	Yule
327	Bengal (Bangala)	Person	Yule
328	Benjamin of Tudela on the Gryphon	FALSE	Yule
329	Benzoin	FALSE	Yule
330	Berbera	Location	Yule
331	Berchet	FALSE	Yule
332	Bern MS. Of Polo's Book	Person	Yule
333	Berrie	FALSE	Yule
334	Bettelar	Person	Yule
335	Beyamini	FALSE	Yule
336	Bezant	FALSE	Yule
337	Bhartpur	FALSE	Yule
338	Bianconi	Person	Yule
339	Biar	FALSE	Yule
340	Bibars Bundï¿½kdï¿½ri (Bendocquedar)	 	Yule
341	Bielo Osero	FALSE	Yule
342	Bigoncio	FALSE	Yule
343	Bilï¿½chis	 	Yule
344	Binkin	FALSE	Yule
345	Bintang (Pentam)	FALSE	Yule
346	Birch-bark Books	FALSE	Yule
347	Bird-hunts	FALSE	Yule
348	Birdwood	FALSE	Yule
349	Birhors of Chuta Nagpï¿½r	 	Yule
350	Birthday of the Great Kaan	FALSE	Yule
351	Birï¿½Pandi or Piraï¿½Bandi	 	Yule
352	Bishbalik	FALSE	Yule
353	Bishop	FALSE	Yule
354	Bitter bread	FALSE	Yule
355	Blac	FALSE	Yule
356	Black Crane	FALSE	Yule
357	Blacker the more beautiful	FALSE	Yule
358	Block-books	FALSE	Yule
359	Blood-sucking	FALSE	Yule
360	Blous, Bloies'	FALSE	Yule
361	Boar's tusks	FALSE	Yule
362	Boccassini	FALSE	Yule
363	Bodhisatva Avalokitecvara	FALSE	Yule
364	Bodleian MS. of Polo	FALSE	Yule
365	Boeach	FALSE	Yule
366	Boemond	Person	Yule
367	Boga (Buka)	Person	Yule
368	Boghra Khan	Person	Yule
369	Bohea country	FALSE	Yule
370	Boikoff	FALSE	Yule
371	Bokhara	Location	Murray
372	Bokhara (Bocara)	FALSE	Yule
373	Bolgana	Person	Yule
374	Bolghar	Person	Yule
375	Bolghar (Bolgara)	Location	Yule
376	Bolivar	Person	Yule
377	Bolor	FALSE	Yule
378	Bombay	Location	Yule
379	Bonga	FALSE	Yule
380	Boni	Person	Murray
381	Boniface	FALSE	Yule
382	Bonoccio di Mestro	FALSE	Yule
383	Bonus (Ebony)	FALSE	Yule
384	Boodhism in Central Asia		Murray
385	Book of Marco Polo	FALSE	Yule
386	Bore in Hangchau Estuary	FALSE	Yule
387	Borgal	FALSE	Yule
388	Borneo	FALSE	Yule
389	BoroBodor	FALSE	Yule
390	Borrak (Barac)	Person	Yule
391	Bostam	FALSE	Yule
392	Bouqueran	FALSE	Yule
393	Boxwood Forests in Georgia	FALSE	Yule
394	Bozzi	FALSE	Yule
395	Bragadino	Person	Yule
396	Brahmanical Thread	FALSE	Yule
397	Brahmans (Abraiaman)	Person	Yule
398	Brahuis	FALSE	Yule
399	Brakhimov	FALSE	Yule
400	Brambanan	FALSE	Yule
401	Bran diet	FALSE	Yule
402	Brazil (wood)	FALSE	Yule
403	Brephung monastery	FALSE	Yule
404	Bretesche	FALSE	Yule
405	Brichu (Brius the Upper Kiang)	FALSE	Yule
406	Bridges	FALSE	Yule
407	Brine-wells	FALSE	Yule
408	British Museum	Location	Murray
409	Brius 	Location	Yule
410	Brius river	Location	Murray
411	Brown	Person	Yule
412	Bruce's Abyssinian Chronology	FALSE	Yule
413	Brunetto Latini's Book	FALSE	Yule
414	Bucephalus	FALSE	Yule
415	Buckrams	FALSE	Yule
416	Buddha	Person	Yule
417	Buddhism	FALSE	Yule
418	Buddhist 	FALSE	Yule
419	Buffet and vessels of Kaan's table	FALSE	Yule
420	Buka (Boga)	Person	Yule
421	Bularguchi	FALSE	Yule
422	Bulgaria	Location	Murray,Yule
423	Bulughï¿½n 	 	Yule
424	Bundï¿½kdï¿½r	 	Yule
425	Burkan Kaldun	FALSE	Yule
426	Burma 	Person	Yule
427	Burnes	Person	Murray
428	Burning paper imitations of property at funerals	Person	Yule
429	Burning the Dead	FALSE	Yule
430	Buryats or Buraets	FALSE	Yule
431	Butchers	FALSE	Yule
432	Butiflis (Mutfili)	FALSE	Yule
433	Ca-cian-fu (Ho-kien-fou)	Location	Murray
434	Ca-cian-fu (Tong-tcheou)	Location	Murray
435	Caaju	Location	Yule
436	Cacanfu (Hokiang-fu)	FALSE	Yule
437	Cachanfu (Pï¿½uchau-fu)	 	Yule
438	Cachar Modun	FALSE	Yule
439	Cachilpatnam	FALSE	Yule
440	Caesalpinia	FALSE	Yule
441	Caesarea of Cappadocia (Casaria)	FALSE	Yule
442	Cai-gui(Qua-tcheou)	Location	Murray
443	Caichu	Location	Yule
444	Caidu	Person	Yule
445	Caiju (on the Hoang-Ho)	FALSE	Yule
446	Caiju (on the Kiang, Kwachau)	FALSE	Yule
447	Cail (Kï¿½yal)	 	Yule
448	Caindu	Location	Yule
449	Caingan	FALSE	Yule
450	Cairo	Location	Yule
451	Caiton	FALSE	Yule
452	Cala Ataperistan (or Gueber's Castle)	FALSE	Yule
453	Calachan	FALSE	Yule
454	Calacian	Location	Murray
455	Calaiate	FALSE	Yule
456	Calamanz	FALSE	Yule
457	Calamina	FALSE	Yule
458	Calatu	FALSE	Yule
459	Calatu (Kalhat)	Location	Murray
460	Caldwell	FALSE	Yule
461	Calendar	Person	Yule
462	Cali or Kael	Location	Murray
463	Calicut	Person	Yule
464	Calif	Person	Yule
465	Caligine	FALSE	Yule
466	Camabaia(Cambay)	Location	Murray
467	Camadi 	Location	Yule
468	Camandu	Location	Murray
469	Cambaluc (Khanbalig or Peking)	Location	Yule
470	Cambay (Cambaet, Cambeth)	Location	Yule
471	Cambuscan of Chaucer	FALSE	Yule
472	Camels	FALSE	Yule
473	Camexu	FALSE	Yule
474	Camlets (cammellotti)	FALSE	Yule
475	Camoens	FALSE	Yule
476	Camphor	Person	Yule
477	Campichu (Kanchau)	Location	Yule
478	Camul (Kamul, Komul)	Location	Yule
479	Camut	Person	Yule
480	Can-giu (Kiang-chan-fui)	Location	Murray
481	Canal	FALSE	Yule
482	Canale	FALSE	Yule
483	Cananor	FALSE	Yule
484	Cananore	FALSE	Yule
485	Canara	FALSE	Yule
486	Cancamum	FALSE	Yule
487	Candahar	FALSE	Yule
488	Cane,Canes 	FALSE	Yule
489	Cannibalism	FALSE	Yule
490	Cannibals	FALSE	Yule
491	Canonical Hours	FALSE	Yule
492	Canpicion (Kan-tcheou)	Location	Murray
493	Cansay	FALSE	Yule
494	Canton	FALSE	Yule
495	Cape Comorin	FALSE	Yule
496	Cape Corrients 	FALSE	Yule
497	Cappidoglio	FALSE	Yule
498	Caracoron (Karï¿½ Korum)	 	Yule
499	Caraian	Location	Murray,Yule
500	Carajan 	Location	Yule
501	Caramoran River (Hoang-Ho)	FALSE	Yule
502	Caraonas (Karaunahs)	FALSE	Yule
503	Carats	FALSE	Yule
504	Carbine	FALSE	Yule
505	Cardamom	FALSE	Yule
506	Cardinal's Wit	FALSE	Yule
507	Caribs	FALSE	Yule
508	Carpets	FALSE	Yule
509	Carpini	Person	Murray
510	Carriages	FALSE	Yule
511	Carrion shot from engines	FALSE	Yule
512	Casan	FALSE	Yule
513	Casan or Ghazan	Person	Murray
514	Casaria (Caesarea of Cappadocia)	FALSE	Yule
515	Cascar (Cashgar)	Location	Murray
516	Cascar (Kashgar)	FALSE	Yule
517	Casem	FALSE	Yule
518	Casoni	FALSE	Yule
519	Caspian Sea (Sea of Ghel or Ghelan)	FALSE	Yule
520	Cassay	FALSE	Yule
521	Cassia	FALSE	Yule
522	Castaldi	Person	Yule
523	Casvin (Kazwï¿½n)	 	Yule
524	Cat's Head Tablet	FALSE	Yule
525	Catalan Navy	FALSE	Yule
526	Cathay (Northern China)	FALSE	Yule
527	Cathay or Kataia	Location	Murray
528	Cathayans	FALSE	Yule
529	Catholicos	FALSE	Yule
530	Cators 	FALSE	Yule
531	Cats in China	FALSE	Yule
532	Caucasian Wall	FALSE	Yule
533	Caugigu	Location	Yule
534	Caulking of Chinese ships	FALSE	Yule
535	Cauly	FALSE	Yule
536	Causeway	Location	Yule
537	Cauterising  heads of children	FALSE	Yule
538	Cave-houses	FALSE	Yule
539	Cavo de Eli	FALSE	Yule
540	Caya-fu	Location	Murray
541	Cayu (Kao-yu)	FALSE	Yule
542	Caï¿½ Polo	 	Yule
543	Celtic Church	FALSE	Yule
544	Census of houses in Kinsay	FALSE	Yule
545	Ceremonial of Mongol Court	FALSE	Yule
546	Ceylon (Seilan)	Person	Yule
547	Chachan (properly Charchand)	FALSE	Yule
548	Chagan-Nur(N.E. of Kamul)	FALSE	Yule
549	Chagatai	Person	Yule
550	Champa (Chamba)	Location	Yule
551	Chandra Banu	FALSE	Yule
552	Chandu	Location	Murray
553	Chandu (Shangtu)	Location	Yule
554	Chang-y (Chenchu)	FALSE	Yule
555	Changan	FALSE	Yule
556	Changchau (Chinginju)	FALSE	Yule
557	Changgan	FALSE	Yule
558	Changlu	FALSE	Yule
559	Changshan (Chanshan)	FALSE	Yule
560	Chaohien	FALSE	Yule
561	Chaotong	FALSE	Yule
562	Chapu	FALSE	Yule
563	Characters	FALSE	Yule
564	Charchan (Chachan of Johnson, Charchand)	FALSE	Yule
565	Charities of the Kaan	Person	Yule
566	Charlemagne	Person	Murray
567	Chasteaux	FALSE	Yule
568	Chaukans or  temporary wives at Kashgar	FALSE	Yule
569	Chaul	FALSE	Yule
570	Chaym(Kao-yeou)	Location	Murray
571	Cheapness in China	FALSE	Yule
572	Cheetas	FALSE	Yule
573	Cheinan	FALSE	Yule
574	Chekiang into Fokien	FALSE	Yule
575	Chen-gui (Yen-tcheou-fou)	Location	Murray
576	Chenching (Cochin-China)	FALSE	Yule
577	Chenchu 	FALSE	Yule
578	Cheu	FALSE	Yule
579	Chibai and Chiban	FALSE	Yule
580	Chilaw	FALSE	Yule
581	Chin	Location	Yule
582	Chin-tan	FALSE	Yule
583	China	Location	Murray,Yule
584	Chinangli(Tï¿½sinan-fu)	 	Yule
585	Chinchau	FALSE	Yule
586	Chinese	Person	Yule
587	Chinese empire	Organization	Murray
588	Chinese navigation to India		Murray
589	Ching-hoang tower at Hangchau-fu	FALSE	Yule
590	Chinghian-fu (Chinkiang-fu)	FALSE	Yule
591	Chinghiz Khan	Person	Yule
592	Chinghiz Tora	FALSE	Yule
593	Chinghu	FALSE	Yule
594	Chinginju (Changchau)	FALSE	Yule
595	Chingintalas	Location	Yule
596	Chingsang	FALSE	Yule
597	Chingting-fu (Acbaluc)	FALSE	Yule
598	Chingtsu or Yunglo	Location	Yule
599	Chinkin	Person	Yule
600	Chinuchi	FALSE	Yule
601	Chinï¿½r	 	Yule
602	Chipangu (Japan)	Location	Yule
603	Chisi (Kishm)	Location	Murray
604	Chitral	FALSE	Yule
605	Chloroxylon	FALSE	Yule
606	Chochau (Juju)	FALSE	Yule
607	Choiach	FALSE	Yule
608	Chola	FALSE	Yule
609	Chonka 	Location	Yule
610	Chonkwï¿½ 	 	Yule
611	Chorcha	Location	Yule
612	Christian	FALSE	Yule
613	Christianity	FALSE	Yule
614	Christians	Organization	Yule
615	Chrocho (The Rukh)	Organization	Yule
616	Chronology and chronological data discussed	FALSE	Yule
617	Chuchau-fu	FALSE	Yule
618	Chuchu	FALSE	Yule
619	Chungkwï¿½	 	Yule
620	Chungtu	FALSE	Yule
621	Churches	Location	Yule
622	Churchin	FALSE	Yule
623	Ciagatai or Zagatai	Person	Murray
624	Cian-cian (Kiu-tcheou)	Location	Murray
625	Cian-gli (Te-tcheou)	Location	Murray
626	Cian-glu (Tsan-tcheou)	Location	Murray
627	Cianba (Tsiompa)	Location	Murray
628	Cianganor	Location	Murray
629	Ciarcian (Karashehr)	Location	Murray
630	Cielstan	FALSE	Yule
631	Cin-ghian-fu(Tchin-kiang-fou)	Location	Murray
