Entity Name,Alternative Name,Tag,Reference,
Astrakhan,Gittarchan,FALSE,Yule,
Astrolabe,,FALSE,Yule,
Astrology,,FALSE,Yule,
Atabegs,,FALSE,Yule,
Atkinson's Explorations impunged by Russians,,FALSE,Yule,
Atlas,,FALSE,Yule,
Audh,Oudh,FALSE,Yule,
Aufat,,FALSE,Yule,
Augury,,FALSE,Yule,
Aung Khan,Unc Can,Person,Yule,
Aurangzib,,FALSE,Yule,
Aurora,,FALSE,Yule,
Aussa,,FALSE,Yule,
Avah,"Abah,Ava",Location,,
Avarian,,FALSE,Yule,
Axum,,FALSE,Yule,
Ayas,Layas,FALSE,Yule,
Ayuthia,,FALSE,Yule,
Azumiti,,FALSE,Yule,
Azure,Ultramarine,Location,Yule,
Aás,, ,Yule,
Aï¿½tius,, ,Yule,
Baatau,,Person,Murray,
Baba Buzurg,,FALSE,Yule,
Baboons,,FALSE,Yule,
Babylon,,Location,Yule,
Babylonish garments,,FALSE,Yule,
Baccadeo,,FALSE,Yule,
Baccanor,,FALSE,Yule,
Bacsi,Bakhshi,FALSE,Yule,
Badakhshan,Badashan,Location,Yule,
Badascia,Badakshan,Location,Murray,
Badger,,FALSE,Yule,
Badghï¿½s,, ,Yule,
Badgï¿½r,, ,Yule,
Badruddin Lulu of Mosul,,FALSE,Yule,
Badï¿½ï¿½n,, ,Yule,
Bafk,,FALSE,Yule,
Baft,,FALSE,Yule,
Bagdad,,Location,Murray,
Baghdad,Baudas,FALSE,Yule,
Bagratidae,,FALSE,Yule,
Bahar,,FALSE,Yule,
Bahrein,,FALSE,Yule,
Bahï¿½uddin Ayaz,, ,Yule,
Bai,,FALSE,Yule,
Baiberdon,,FALSE,Yule,
Baidu Khan,,Person,Yule,
Bailo,,FALSE,Yule,
Baiothony,,Person,Murray,
Bakhtyï¿½ris of Luristï¿½n,, ,Yule,
Baksi,,Person,Murray,
Baku,,Location,Murray,
Bala-Sagun,,FALSE,Yule,
Baldacchini,Baudekins,FALSE,Yule,
Baldach,Bagdad,Location,Murray,
Baldwin de Courtenay,,Person,Yule,
Bali,,Location,Yule,
Balios,,FALSE,Yule,
Balish,,FALSE,Yule,
Balista,,FALSE,Yule,
Balk,Balkh,Location,Murray,
Balkhash ,,FALSE,Yule,
Ballaad-ul-Falfal,,FALSE,Yule,
Ballads,,FALSE,Yule,
Ballard,,FALSE,Yule,
Balor,,FALSE,Yule,
Balthazar,,Person,,
Balsamodendron Mukul,,FALSE,Yule,
Balti,,FALSE,Yule,
Balustrade,,FALSE,Yule,
Bam-i-dunyah,,Location,Yule,
Bamboo ,,Location,Yule,
Bamian,,FALSE,Yule,
Bamm,,FALSE,Yule,
Bamo,,Location,Yule,
Bandar Abbas,Bandar-Abbasi,FALSE,Yule,
Bangala,Bengal,Location,Murray,
Bangu,Eastern Siberia,Location,Murray,
Baptism accompanied by branding in Abyssinia,,FALSE,Yule,
Bara,,FALSE,Yule,
Barac,Borrak,Person,Yule,
Barberino,,FALSE,Yule,
Bardesir,,FALSE,Yule,
Bargu ,,FALSE,Yule,
Barguchin Tugrum,,FALSE,Yule,
Barguerlac ,,FALSE,Yule,
Barguzinsk,,FALSE,Yule,
Barin,,FALSE,Yule,
Bark,,FALSE,Yule,
Barka khan,Barca,Person,Yule,
Barka khan,,Person,Murray,
Barkul,,FALSE,Yule,
Barkï¿½t ,, ,Yule,
Barlaam and Josaphat,,FALSE,Yule,
Barley,,FALSE,Yule,
Baroch,,FALSE,Yule,
Baron-tala,,FALSE,Yule,
Barons,,Person,Murray,
Barozzi,,Person,Yule,
Barsauma,St. Brassamo,FALSE,Yule,
Barskul,Barscol,FALSE,Yule,
Barus,,FALSE,Yule,
Barussae Insulae,,FALSE,Yule,
Barygazu,,FALSE,Yule,
Bascra,Bussora,Location,Murray,
Bashai,Pashai,FALSE,Yule,
Basma,,Location,Yule,
Basmuls,,FALSE,Yule,
Baspa Lama and the Mongol character called after him,,FALSE,Yule,
Basra,"Bascra,Bastra",FALSE,Yule,
Bathang,,FALSE,Yule,
Baths,,FALSE,Yule,
Batigala,,FALSE,Yule,
Batochina,,FALSE,Yule,
Bats,,FALSE,Yule,
Battas of Sumatra and their  cannibalism,,FALSE,Yule,
Batthala,Patlam in Ceylon,FALSE,Yule,
Battles,,Person,Yule,
Batu,,Person,Yule,
Baudas,Baghdad,Location,Yule,
Baudekins ,,FALSE,Yule,
Bauduin de Sebourc,,FALSE,Yule,
Bavaria,,Location,Yule,
Bawï¿½rij,, ,Yule,
Bayam,,Person,Murray,
Bayan Chingsian,,Person,Yule,
Bazacata,,FALSE,Yule,
Bdellium,,FALSE,Yule,
Beads,,FALSE,Yule,
Bearcoote,,FALSE,Yule,
Bears,,FALSE,Yule,
Beast and bird patterns on silks,,FALSE,Yule,
Beaten gold,,FALSE,Yule,
Beauty of Georgians,,Person,Yule,
Beds,,FALSE,Yule,
Beef not eaten in Maabar,,FALSE,Yule,
Bejas of the Red Sea Coast,,FALSE,Yule,
Belic,Melic,FALSE,Yule,
Bell,,FALSE,Yule,
Bellal Rajas,,FALSE,Yule,
Belledi,balladi,FALSE,Yule,
Belor,Beloor,Location,Murray,
Bendocquedar,,FALSE,Yule,
Benedict,,Person,Yule,
Benjamin of Tudela on the Gryphon,,FALSE,Yule,
Benzoin,,FALSE,Yule,
Berbera,,Location,Yule,
Berchet,,FALSE,Yule,
Bern MS. Of Polo's Book,,Person,Yule,
Berrie,,FALSE,Yule,
Bettelar,,Person,Yule,
Beyamini,,FALSE,Yule,
Bezant,,FALSE,Yule,
Bhartpur,,FALSE,Yule,
Bianconi,,Person,Yule,
Biar,,FALSE,Yule,
Bibars Bundï¿½kdï¿½ri ,Bendocquedar, ,Yule,
Bielo Osero,,FALSE,Yule,
Bigoncio,,FALSE,Yule,
Bilï¿½chis,, ,Yule,
Binkin,,FALSE,Yule,
Bintang,Pentam,FALSE,Yule,
Birch-bark Books,,FALSE,Yule,
Bird-hunts,,FALSE,Yule,
Birdwood,,FALSE,Yule,
Birhors of Chuta Nagpï¿½r,, ,Yule,
Birthday of the Great Kaan,,FALSE,Yule,
Birï¿½Pandi or Piraï¿½Bandi,, ,Yule,
Bishbalik,,FALSE,Yule,
Bishop,,FALSE,Yule,
Bitter bread,,FALSE,Yule,
Blac,,FALSE,Yule,
Black Crane,,FALSE,Yule,
Blacker the more beautiful,,FALSE,Yule,
Block-books,,FALSE,Yule,
Blood-sucking,,FALSE,Yule,
Blous,, Bloies',FALSE,Yule
Boar's tusks,,FALSE,Yule,
Boccassini,,FALSE,Yule,
Bodhisatva Avalokitecvara,,FALSE,Yule,
Bodleian MS. of Polo,,FALSE,Yule,
Boeach,,FALSE,Yule,
Boemond,,Person,Yule,
Boga,Buka,Person,Yule,
Boghra Khan,,Person,Yule,
Bohea country,,FALSE,Yule,
