Count	Annotated Travel
0	Armenia the Lesser
1	Laias
2	Turcomania
3	Armenia the Greater
4	 Arzinga
5	Armenia
6	Georgia
7	Teflis
8	Mosul
9	Baldach
10	Toris
11	Yrac
12	Mohammed
13	Baldach
14	Persia
15	 Sava
16	Yasdi
17	Creman
18	Camandu
19	Reobarle
20	Formosa
21	 Cormos
22	Formosa
23	Cormos
24	Creman
25	Cobinam
26	Tonocain
27	Sapurgan
28	Balk
29	Dogana
30	Taikan
31	Scassem
32	Badascian
33	Pascia
34	Kesimur
35	Badascian
36	Vokhan
37	 Pamier
38	 Belor
39	Cascar
40	Samarcan
41	Yarcan
42	Cotan
43	Pein
44	Ciarcian
45	Lop
46	Sacchion
47	Tangut
48	Kamul
49	Ginghintalas
50	Succiur
51	Canpicion
52	Ezina
53	Karakorum
54	Bangu
55	Canpicion
56	Erginul
57	Egrigaia
58	Tenduc
59	Cianganor
60	Gog and Magog
61	Sindacui
62	Chandu
