Entity	Original count	Found count	WordNet count	FrameNet count	Voted count	Paper count
add	3	0	4	3	3	58
addressed	5	0	3	6	6	3
admitted	1	1	6	86	36	6
advised	1	1	0	0	0	1
answer	1	0	1	0	1	1
	36	70	1	0	0	0
asked	5	5	5	0	5	0
asking	1	1	1	0	1	0
assure	1	1	1	0	1	1
assured	1	3	3	0	3	3
called	23	24	24	0	24	0
concluded	1	0	0	0	0	0
declared	8	8	8	8	8	8
describe	5	0	5	5	5	5
described	8	0	8	8	8	8
describing	1	0	1	1	1	1
explained	1	1	1	1	1	1
inform	2	2	2	0	2	2
informed	6	7	7	0	7	7
inquire	1	1	1	0	1	0
inquired	2	2	2	0	2	0
instructed	1	1	1	0	1	1
introduce	1	0	1	0	0	0
introduced	1	0	1	0	0	0
know	9	0	12	12	12	0
knowing	3	0	3	3	3	0
known	1	0	3	3	3	0
mention	8	8	8	8	8	8
mentioned	5	6	6	6	6	6
mentioning	3	3	3	3	3	3
named	27	0	27	0	0	27
narrate	1	1	1	0	1	1
observe	2	3	3	3	3	3
observing	2	2	2	2	2	2
relate	8	8	8	8	8	8
related	1	1	1	1	1	1
replied	4	4	4	0	4	0
reported	1	2	2	2	2	2
resume	1	0	1	0	0	0
said	13	14	14	14	16	14
say	9	9	9	9	9	9
saying	8	8	8	8	8	8
secure	1	0	0	0	0	0
spake	1	0	0	0	0	0
speak	6	6	6	6	6	6
spoke	1	1	1	1	1	1
spoken	3	4	4	4	4	4
summoned	1	0	6	0	0	0
tell	30	30	30	30	30	30
telling	2	2	2	2	2	2
told	9	10	10	10	10	10
warned	1	2	2	0	2	0
