Entity	Original count	Found count
Abaga	9	0
Abatan	1	0
Acomat	9	12
	11	114
Acomat Soldan	2	0
Adam	3	0
Aigiarm	1	0
Alau	9	9
Alexander	1	0
Argon	27	28
Asciar	1	0
Baidu	3	0
Barak	3	0
Barka	8	0
Boga	2	0
Casan	7	8
Ciagatai	1	1
Conci	1	1
Elcidai	1	0
Gengis	1	3
Gengis Khan	2	0
George	1	0
Jesudar	1	0
Kaidu	13	14
Khan	26	29
Kublai	3	0
Maffio	1	0
Marco	3	0
Marco Polo	2	2
Messer St Thomas	2	0
Mohammed	8	0
Mohammedan	1	0
Mongutemur	1	0
Mungletemur	1	0
Nacigai	1	0
Nicolo	1	0
Nicolo Polo	1	1
Nogai	10	0
Nomogan	1	0
Patu	1	0
Prester John	1	1
Quiacatu	4	0
Sain	1	0
Samagar	1	0
Sendemain	1	0
Senderbandi Davar	1	0
Sergamon Borcam	1	0
Soldan	2	0
Soldan Acomat	1	0
St Thomas	2	0
Taga	1	0
Tegana	1	0
Tiar Oulatai	1	0
Toctai	10	0
Toctar	1	0
Togan	1	0
Tolobuga	2	0
Totamangu	7	0
Totamongur	1	0
Vonsanicin	1	0
soldan	1	0
