Entity	Original count	Found count		
Achmac	9	8		
Adam	1	1		
Aguil	1	1		
Bayam	8	8		
Bayam Cinqsan	1	1		33
Chenku	4	4		40
Christ	1	0		
Dor	5	4		
Essetemur	1	1		
Facfur	3	2		
Gengis	4	4		
Gengis Khan	1	1		
Gyngym Khan	1	1		
Jove	1	1		
Kaidu	3	3		
Khan	125	125		
Kogatai	3	3		
Kogatin	1	1		
Kublai	6	5		
Litan	2	2		
Maffio	2	2		
Maffio Polo	1	1		
Mangalu	3	1		
Mangou	1	1		
Marco	5	4		
Marco Polo	4	4		
Marsarchis	1	1		
Messer Marco	2	3		
Messer Marco Polo	1	0		
Messeri Nicolo	2	2		
Migam	1	1		
Mohammed	1	1		
Mongatai	1	1		
Moses	1	1		
Nayan	11	11		
Nescardin	3	3		
Nicolo	1	1		
Prester John	5	5		
Sogomombar Khan	1	1		
Temur	2	2		
Vanku	5	5		
bulangazi	1	1		
